Word,Frequency 2020,Frequency 2024,Growth Rate (%)
vegetation,1.0,3.0,200.0
pastor,1.0,3.0,200.0
irrigation,1.0,3.0,200.0
needle,1.0,3.0,200.0
securely,1.0,3.0,200.0
transcripts,1.0,3.0,200.0
sanyo,1.0,3.0,200.0
examinations,1.0,3.0,200.0
kim,58.0,172.71,197.78
ion,29.0,84.1,190.0
protein,62.0,179.47,189.47
billy,20.0,57.82,189.1
pink,5.0,14.27,185.4
midnight,5.0,14.27,185.4
synthetic,40.0,113.39,183.48
ln,22.0,62.33,183.32
morrison,8.0,22.53,181.62
ss,12.0,33.79,181.58
nicholas,12.0,33.79,181.58
striking,4.0,11.26,181.5
championship,98.0,273.33,178.91
chan,7.0,19.52,178.86
democracy,6.0,16.52,175.33
ukraine,3.0,8.26,175.33
ye,3.0,8.26,175.33
rna,3.0,8.26,175.33
jail,3.0,8.26,175.33
passengers,3.0,8.26,175.33
qc,3.0,8.26,175.33
poly,8.0,21.78,172.25
compensation,5.0,13.52,170.4
folding,21.0,56.32,168.19
dragon,22.0,58.57,166.23
richmond,2.0,5.26,163.0
silk,2.0,5.26,163.0
infant,2.0,5.26,163.0
admissions,2.0,5.26,163.0
occupational,2.0,5.26,163.0
coat,2.0,5.26,163.0
amber,2.0,5.26,163.0
nuts,2.0,5.26,163.0
terrible,2.0,5.26,163.0
invitation,2.0,5.26,163.0
buzz,2.0,5.26,163.0
sku,2.0,5.26,163.0
attitudes,2.0,5.26,163.0
forty,2.0,5.26,163.0
judy,2.0,5.26,163.0
kinda,2.0,5.26,163.0
ownership,6.0,15.77,162.83
excerpt,4.0,10.51,162.75
dc,69.0,178.72,159.01
norman,7.0,18.02,157.43
subscription,22.0,56.32,156.0
duo,8.0,20.27,153.38
dance,27.0,68.33,153.07
flash,206.0,517.37,151.15
emissions,3.0,7.51,150.33
complaint,3.0,7.51,150.33
talked,3.0,7.51,150.33
copying,3.0,7.51,150.33
miracle,3.0,7.51,150.33
progressive,19.0,47.31,149.0
alignment,49.0,121.65,148.27
suit,14.0,34.54,146.71
equilibrium,7.0,17.27,146.71
mask,4.0,9.76,144.0
airports,4.0,9.76,144.0
fallen,4.0,9.76,144.0
rides,4.0,9.76,144.0
dressed,4.0,9.76,144.0
jackson,13.0,31.54,142.62
mono,9.0,21.78,142.0
prices,14.0,33.79,141.36
archive,5127.0,12353.12,140.94
waste,5.0,12.01,140.2
homeless,5.0,12.01,140.2
monday,6.0,14.27,137.83
hip,13.0,30.79,136.85
conflicts,7.0,16.52,136.0
titanium,7.0,16.52,136.0
acid,8.0,18.77,134.62
amanda,9.0,21.03,133.67
stainless,17.0,39.05,129.71
miller,71.0,160.69,126.32
casino,2.0,4.51,125.5
yesterday,2.0,4.51,125.5
merchandise,2.0,4.51,125.5
banner,2.0,4.51,125.5
prohibited,2.0,4.51,125.5
grass,2.0,4.51,125.5
kenya,2.0,4.51,125.5
nylon,2.0,4.51,125.5
frozen,2.0,4.51,125.5
ver,2.0,4.51,125.5
caution,2.0,4.51,125.5
talented,2.0,4.51,125.5
remedies,2.0,4.51,125.5
sv,2.0,4.51,125.5
honda,6.0,13.52,125.33
cute,3.0,6.76,125.33
sand,3.0,6.76,125.33
ra,6.0,13.52,125.33
trailers,3.0,6.76,125.33
hospitality,3.0,6.76,125.33
regime,3.0,6.76,125.33
acids,3.0,6.76,125.33
males,3.0,6.76,125.33
cabin,6.0,13.52,125.33
eternal,3.0,6.76,125.33
richardson,3.0,6.76,125.33
contacted,3.0,6.76,125.33
rg,3.0,6.76,125.33
greek,7.0,15.77,125.29
annotated,27.0,60.82,125.26
lady,8.0,18.02,125.25
loose,4.0,9.01,125.25
hook,4.0,9.01,125.25
danish,4.0,9.01,125.25
joan,4.0,9.01,125.25
invasion,8.0,18.02,125.25
ev,4.0,9.01,125.25
jake,4.0,9.01,125.25
cardiac,8.0,18.02,125.25
psychiatry,4.0,9.01,125.25
wagner,8.0,18.02,125.25
coalition,9.0,20.27,125.22
symphony,9.0,20.27,125.22
nfl,5.0,11.26,125.2
interim,5.0,11.26,125.2
lighter,5.0,11.26,125.2
unauthorized,5.0,11.26,125.2
baseball,1.0,2.25,125.0
favourite,1.0,2.25,125.0
cables,1.0,2.25,125.0
guinea,1.0,2.25,125.0
boots,1.0,2.25,125.0
folder,1.0,2.25,125.0
womens,1.0,2.25,125.0
cabinet,1.0,2.25,125.0
abroad,1.0,2.25,125.0
sublime,1.0,2.25,125.0
babies,1.0,2.25,125.0
seeker,1.0,2.25,125.0
appeals,1.0,2.25,125.0
inkjet,1.0,2.25,125.0
mercedes,1.0,2.25,125.0
rivers,1.0,2.25,125.0
locator,1.0,2.25,125.0
jews,1.0,2.25,125.0
totals,1.0,2.25,125.0
stayed,1.0,2.25,125.0
manuals,1.0,2.25,125.0
bull,1.0,2.25,125.0
essentials,1.0,2.25,125.0
exotic,1.0,2.25,125.0
toilet,1.0,2.25,125.0
consolidated,1.0,2.25,125.0
brunswick,1.0,2.25,125.0
glen,1.0,2.25,125.0
recreational,1.0,2.25,125.0
dominican,1.0,2.25,125.0
friendship,1.0,2.25,125.0
discretion,1.0,2.25,125.0
pendant,1.0,2.25,125.0
drums,1.0,2.25,125.0
eyed,1.0,2.25,125.0
ment,1.0,2.25,125.0
disturbed,1.0,2.25,125.0
merry,1.0,2.25,125.0
hugh,1.0,2.25,125.0
sewing,1.0,2.25,125.0
elephant,1.0,2.25,125.0
omissions,1.0,2.25,125.0
earning,1.0,2.25,125.0
warner,44.0,98.37,123.57
dx,22.0,48.81,121.86
access,4035.0,8880.19,120.08
sims,12.0,26.28,119.0
pros,10.0,21.78,117.8
cl,19.0,41.3,117.37
chapter,388.0,842.51,117.14
sam,93.0,201.24,116.39
league,25.0,54.07,116.28
welfare,8.0,17.27,115.88
exercises,8.0,17.27,115.88
reid,8.0,17.27,115.88
gold,53.0,114.14,115.36
disabilities,7.0,15.02,114.57
smithsonian,7.0,15.02,114.57
cannon,7.0,15.02,114.57
generator,54.0,115.64,114.15
mistake,6.0,12.77,112.83
accused,6.0,12.77,112.83
hc,6.0,12.77,112.83
derek,6.0,12.77,112.83
cb,11.0,23.28,111.64
ryan,73.0,153.94,110.88
rx,10.0,21.03,110.3
pj,5.0,10.51,110.2
atomic,14.0,29.29,109.21
adventure,32.0,66.83,108.84
suspended,9.0,18.77,108.56
ultra,31.0,64.58,108.32
miss,13.0,27.03,107.92
stephanie,25.0,51.81,107.24
skin,29.0,60.07,107.14
background,201.0,415.25,106.59
printer,4.0,8.26,106.5
hilton,4.0,8.26,106.5
wayne,16.0,33.04,106.5
firewall,4.0,8.26,106.5
je,4.0,8.26,106.5
powell,4.0,8.26,106.5
ton,4.0,8.26,106.5
kay,4.0,8.26,106.5
mh,4.0,8.26,106.5
yang,43.0,88.61,106.07
saudi,19.0,39.05,105.53
fastest,18.0,36.79,104.39
hell,7.0,14.27,103.86
democratic,7.0,14.27,103.86
indonesia,7.0,14.27,103.86
spare,7.0,14.27,103.86
drag,7.0,14.27,103.86
barry,41.0,83.35,103.29
equality,13.0,26.28,102.15
notion,58.0,117.14,101.97
guitar,3.0,6.01,100.33
governor,3.0,6.01,100.33
earn,3.0,6.01,100.33
laid,3.0,6.01,100.33
confidential,3.0,6.01,100.33
celebration,3.0,6.01,100.33
bobby,3.0,6.01,100.33
tender,3.0,6.01,100.33
remix,3.0,6.01,100.33
rhythm,3.0,6.01,100.33
nails,3.0,6.01,100.33
uw,3.0,6.01,100.33
privilege,3.0,6.01,100.33
glenn,9.0,18.02,100.22
hudson,6.0,12.01,100.17
veteran,6.0,12.01,100.17
cancellation,6.0,12.01,100.17
ww,6.0,12.01,100.17
climate,20.0,39.8,99.0
temple,11.0,21.78,98.0
dancing,11.0,21.78,98.0
performances,24.0,47.31,97.12
planets,8.0,15.77,97.12
pursuit,8.0,15.77,97.12
filed,13.0,25.53,96.38
clip,31.0,60.82,96.19
crawford,15.0,29.29,95.27
restaurant,5.0,9.76,95.2
eastern,5.0,9.76,95.2
heaven,5.0,9.76,95.2
rehabilitation,5.0,9.76,95.2
kick,5.0,9.76,95.2
astronomy,5.0,9.76,95.2
broke,10.0,19.52,95.2
katie,5.0,9.76,95.2
ecological,5.0,9.76,95.2
sm,17.0,33.04,94.35
nike,17.0,33.04,94.35
drops,12.0,23.28,94.0
seeking,26.0,50.31,93.5
ada,7.0,13.52,93.14
diana,7.0,13.52,93.14
dem,7.0,13.52,93.14
ko,7.0,13.52,93.14
citizenship,14.0,27.03,93.07
pathology,9.0,17.27,91.89
aw,9.0,17.27,91.89
status,2065.0,3952.76,91.42
description,329.0,623.25,89.44
div,75.0,141.92,89.23
attorney,4.0,7.51,87.75
apartment,4.0,7.51,87.75
curriculum,8.0,15.02,87.75
disabled,8.0,15.02,87.75
recruitment,4.0,7.51,87.75
mpeg,4.0,7.51,87.75
rack,4.0,7.51,87.75
cry,8.0,15.02,87.75
instantly,4.0,7.51,87.75
nail,4.0,7.51,87.75
females,4.0,7.51,87.75
amino,8.0,15.02,87.75
bones,4.0,7.51,87.75
politicians,8.0,15.02,87.75
relatives,4.0,7.51,87.75
ro,8.0,15.02,87.75
renewable,4.0,7.51,87.75
vice,134.0,251.55,87.72
senior,10.0,18.77,87.7
aviation,10.0,18.77,87.7
collapse,10.0,18.77,87.7
spectacular,6.0,11.26,87.67
thats,6.0,11.26,87.67
toxic,6.0,11.26,87.67
ana,6.0,11.26,87.67
wan,6.0,11.26,87.67
recreation,2.0,3.75,87.5
css,2.0,3.75,87.5
mountains,2.0,3.75,87.5
chemicals,2.0,3.75,87.5
farmers,2.0,3.75,87.5
vacuum,2.0,3.75,87.5
athletic,2.0,3.75,87.5
jam,2.0,3.75,87.5
islam,2.0,3.75,87.5
seo,2.0,3.75,87.5
macintosh,2.0,3.75,87.5
luxembourg,2.0,3.75,87.5
finest,2.0,3.75,87.5
precious,2.0,3.75,87.5
rim,2.0,3.75,87.5
rapids,2.0,3.75,87.5
conferencing,2.0,3.75,87.5
warriors,2.0,3.75,87.5
kenny,2.0,3.75,87.5
holocaust,2.0,3.75,87.5
mj,2.0,3.75,87.5
bacon,2.0,3.75,87.5
mia,2.0,3.75,87.5
dat,2.0,3.75,87.5
copyright,37.0,69.08,86.7
sim,58.0,108.13,86.43
chess,521.0,970.92,86.36
arabia,17.0,31.54,85.53
armor,17.0,31.54,85.53
breach,17.0,31.54,85.53
upgrades,13.0,24.03,84.85
futures,13.0,24.03,84.85
universe,110.0,201.99,83.63
warren,9.0,16.52,83.56
proxy,9.0,16.52,83.56
highlights,16.0,29.29,83.06
harold,16.0,29.29,83.06
shoes,7.0,12.77,82.43
incentive,7.0,12.77,82.43
retro,7.0,12.77,82.43
hr,26.0,47.31,81.96
beauty,12.0,21.78,81.5
labor,17.0,30.79,81.12
movies,83.0,150.18,80.94
short,332.0,600.72,80.94
bullet,35.0,63.08,80.23
coffee,5.0,9.01,80.2
holy,10.0,18.02,80.2
icons,5.0,9.01,80.2
advertisers,5.0,9.01,80.2
stood,5.0,9.01,80.2
lung,5.0,9.01,80.2
suggestion,5.0,9.01,80.2
theaters,5.0,9.01,80.2
jc,5.0,9.01,80.2
verse,5.0,9.01,80.2
panic,5.0,9.01,80.2
urls,5.0,9.01,80.2
live,1858.0,3334.01,79.44
bear,18.0,32.29,79.39
magazine,621.0,1110.59,78.84
bowl,8.0,14.27,78.38
nintendo,24.0,42.8,78.33
lawyer,22.0,39.05,77.5
removal,11.0,19.52,77.45
volunteers,11.0,19.52,77.45
unlock,11.0,19.52,77.45
hd,50.0,88.61,77.22
pure,25.0,44.3,77.2
paste,14.0,24.78,77.0
issn,382.0,675.81,76.91
se,62.0,109.63,76.82
avenue,3.0,5.26,75.33
mom,3.0,5.26,75.33
attachment,3.0,5.26,75.33
destinations,3.0,5.26,75.33
mall,3.0,5.26,75.33
kent,3.0,5.26,75.33
wage,3.0,5.26,75.33
civic,3.0,5.26,75.33
exceptional,3.0,5.26,75.33
malta,3.0,5.26,75.33
martial,3.0,5.26,75.33
corruption,3.0,5.26,75.33
incentives,3.0,5.26,75.33
extraordinary,3.0,5.26,75.33
troy,3.0,5.26,75.33
snake,3.0,5.26,75.33
transcription,3.0,5.26,75.33
accepting,3.0,5.26,75.33
devon,3.0,5.26,75.33
prix,3.0,5.26,75.33
rouge,3.0,5.26,75.33
sn,3.0,5.26,75.33
restored,3.0,5.26,75.33
pediatric,3.0,5.26,75.33
nowhere,3.0,5.26,75.33
cork,3.0,5.26,75.33
locking,3.0,5.26,75.33
trauma,3.0,5.26,75.33
creature,3.0,5.26,75.33
surprised,9.0,15.77,75.22
podcasts,9.0,15.77,75.22
gray,30.0,52.56,75.2
tourism,6.0,10.51,75.17
specials,6.0,10.51,75.17
healing,6.0,10.51,75.17
anxiety,6.0,10.51,75.17
remedy,6.0,10.51,75.17
annie,6.0,10.51,75.17
justice,54.0,93.86,73.81
garcia,16.0,27.78,73.62
nvidia,156.0,270.33,73.29
team,401.0,692.33,72.65
font,17.0,29.29,72.29
exhibitions,17.0,29.29,72.29
comedy,28.0,48.06,71.64
losses,14.0,24.03,71.64
shannon,14.0,24.03,71.64
anna,21.0,36.04,71.62
legend,7.0,12.01,71.57
victim,7.0,12.01,71.57
travels,7.0,12.01,71.57
authority,67.0,114.89,71.48
thursday,11.0,18.77,70.64
ride,11.0,18.77,70.64
mm,170.0,289.85,70.5
henry,37.0,63.08,70.49
honor,15.0,25.53,70.2
younger,15.0,25.53,70.2
edwards,15.0,25.53,70.2
grand,49.0,83.35,70.1
jacob,35.0,59.32,69.49
hey,4.0,6.76,69.0
cyprus,4.0,6.76,69.0
profits,8.0,13.52,69.0
occasion,4.0,6.76,69.0
ecology,4.0,6.76,69.0
passport,4.0,6.76,69.0
suffered,8.0,13.52,69.0
ons,4.0,6.76,69.0
replica,4.0,6.76,69.0
carroll,4.0,6.76,69.0
installations,4.0,6.76,69.0
disputes,4.0,6.76,69.0
pursue,12.0,20.27,68.92
free,674.0,1133.86,68.23
reuters,94.0,157.69,67.76
alive,22.0,36.79,67.23
republic,31.0,51.81,67.13
greatest,18.0,30.04,66.89
clearance,9.0,15.02,66.89
marked,18.0,30.04,66.89
fifteen,9.0,15.02,66.89
logan,9.0,15.02,66.89
sf,27.0,45.05,66.85
disney,23.0,38.3,66.52
dog,33.0,54.82,66.12
db,24.0,39.8,65.83
sg,15.0,24.78,65.2
anchor,30.0,49.56,65.2
zoom,10.0,16.52,65.2
notebook,5.0,8.26,65.2
visa,5.0,8.26,65.2
conservative,5.0,8.26,65.2
atmosphere,5.0,8.26,65.2
suspension,5.0,8.26,65.2
opposition,5.0,8.26,65.2
espn,5.0,8.26,65.2
lt,5.0,8.26,65.2
randy,5.0,8.26,65.2
lip,5.0,8.26,65.2
ser,5.0,8.26,65.2
porsche,5.0,8.26,65.2
heath,5.0,8.26,65.2
cho,10.0,16.52,65.2
victoria,26.0,42.8,64.62
leaders,37.0,60.82,64.38
evans,16.0,26.28,64.25
conspiracy,16.0,26.28,64.25
andy,33.0,54.07,63.85
ya,11.0,18.02,63.82
minority,11.0,18.02,63.82
tackle,11.0,18.02,63.82
generators,11.0,18.02,63.82
silver,73.0,119.39,63.55
arg,29.0,47.31,63.14
garden,47.0,76.59,62.96
affiliates,6.0,9.76,62.67
granted,12.0,19.52,62.67
holder,6.0,9.76,62.67
shock,6.0,9.76,62.67
personally,6.0,9.76,62.67
genuine,6.0,9.76,62.67
melissa,6.0,9.76,62.67
sisters,6.0,9.76,62.67
illustration,6.0,9.76,62.67
mainland,6.0,9.76,62.67
cons,6.0,9.76,62.67
pig,6.0,9.76,62.67
mess,6.0,9.76,62.67
small,539.0,874.8,62.3
friday,19.0,30.79,62.05
respective,19.0,30.79,62.05
myth,19.0,30.79,62.05
joining,13.0,21.03,61.77
certification,14.0,22.53,60.93
dial,7.0,11.26,60.86
participating,7.0,11.26,60.86
holland,7.0,11.26,60.86
delays,7.0,11.26,60.86
copied,7.0,11.26,60.86
enhancements,7.0,11.26,60.86
francis,22.0,35.29,60.41
disease,61.0,97.62,60.03
builder,8.0,12.77,59.62
morris,8.0,12.77,59.62
sleeve,8.0,12.77,59.62
acute,8.0,12.77,59.62
jd,8.0,12.77,59.62
mere,8.0,12.77,59.62
shaw,8.0,12.77,59.62
ethical,72.0,114.89,59.57
racing,16.0,25.53,59.56
blake,16.0,25.53,59.56
tan,33.0,52.56,59.27
date,13935.0,22188.45,59.23
explain,25.0,39.8,59.2
ron,26.0,41.3,58.85
stem,9.0,14.27,58.56
commander,9.0,14.27,58.56
confident,9.0,14.27,58.56
deborah,9.0,14.27,58.56
adventures,18.0,28.53,58.5
edward,37.0,58.57,58.3
las,20.0,31.54,57.7
filled,10.0,15.77,57.7
dm,10.0,15.77,57.7
horn,10.0,15.77,57.7
revolution,105.0,165.2,57.33
ap,11.0,17.27,57.0
token,22.0,34.54,57.0
box,145.0,227.52,56.91
fashion,172.0,269.57,56.73
clothes,13.0,20.27,55.92
chair,15.0,23.28,55.2
block,126.0,195.23,54.94
racial,16.0,24.78,54.88
stable,65.0,100.62,54.8
fair,50.0,77.34,54.68
voices,19.0,29.29,54.16
electric,77.0,118.64,54.08
cancelled,20.0,30.79,53.95
conflict,42.0,64.58,53.76
fired,21.0,32.29,53.76
jeremy,22.0,33.79,53.59
documentary,23.0,35.29,53.43
highlighted,23.0,35.29,53.43
sister,24.0,36.79,53.29
delayed,25.0,38.3,53.2
term,435.0,666.05,53.11
shares,26.0,39.8,53.08
roman,26.0,39.8,53.08
scan,30.0,45.81,52.7
ended,40.0,60.82,52.05
gene,42.0,63.83,51.98
deadline,142.0,215.51,51.77
width,105.0,159.19,51.61
chen,114.0,171.96,50.84
warm,3.0,4.51,50.33
vinyl,3.0,4.51,50.33
folk,3.0,4.51,50.33
riding,3.0,4.51,50.33
overseas,3.0,4.51,50.33
chile,3.0,4.51,50.33
drum,3.0,4.51,50.33
powder,3.0,4.51,50.33
islamic,3.0,4.51,50.33
titans,3.0,4.51,50.33
honolulu,3.0,4.51,50.33
slovenia,3.0,4.51,50.33
fever,3.0,4.51,50.33
infections,3.0,4.51,50.33
ruling,3.0,4.51,50.33
decent,3.0,4.51,50.33
suzuki,3.0,4.51,50.33
skins,3.0,4.51,50.33
chorus,3.0,4.51,50.33
posing,3.0,4.51,50.33
buck,3.0,4.51,50.33
dh,3.0,4.51,50.33
pledge,3.0,4.51,50.33
contributor,3.0,4.51,50.33
mime,3.0,4.51,50.33
pulling,3.0,4.51,50.33
apollo,3.0,4.51,50.33
barbie,3.0,4.51,50.33
lm,3.0,4.51,50.33
teens,4.0,6.01,50.25
rice,4.0,6.01,50.25
damages,4.0,6.01,50.25
glory,4.0,6.01,50.25
ssl,4.0,6.01,50.25
treaty,4.0,6.01,50.25
admitted,4.0,6.01,50.25
folders,4.0,6.01,50.25
butterfly,4.0,6.01,50.25
envelope,4.0,6.01,50.25
witch,4.0,6.01,50.25
bon,4.0,6.01,50.25
brook,4.0,6.01,50.25
vampire,4.0,6.01,50.25
vanilla,4.0,6.01,50.25
ours,4.0,6.01,50.25
lord,9.0,13.52,50.22
perry,9.0,13.52,50.22
carries,9.0,13.52,50.22
routines,9.0,13.52,50.22
nancy,14.0,21.03,50.21
suffering,14.0,21.03,50.21
est,5.0,7.51,50.2
flights,5.0,7.51,50.2
lock,20.0,30.04,50.2
nba,5.0,7.51,50.2
voted,5.0,7.51,50.2
procurement,5.0,7.51,50.2
advocacy,5.0,7.51,50.2
shelter,5.0,7.51,50.2
sol,5.0,7.51,50.2
arrest,5.0,7.51,50.2
leonard,5.0,7.51,50.2
presenting,10.0,15.02,50.2
buses,5.0,7.51,50.2
louise,5.0,7.51,50.2
hyundai,5.0,7.51,50.2
televisions,5.0,7.51,50.2
relaxation,10.0,15.02,50.2
prisoner,5.0,7.51,50.2
budapest,5.0,7.51,50.2
turning,25.0,37.55,50.2
agree,26.0,39.05,50.19
av,27.0,40.55,50.19
sb,27.0,40.55,50.19
gamespot,49.0,73.59,50.18
forget,11.0,16.52,50.18
slide,11.0,16.52,50.18
debian,11.0,16.52,50.18
tribute,11.0,16.52,50.18
vp,11.0,16.52,50.18
happy,28.0,42.05,50.18
guides,28.0,42.05,50.18
damage,34.0,51.06,50.18
murphy,17.0,25.53,50.18
locale,17.0,25.53,50.18
josh,23.0,34.54,50.17
weekend,18.0,27.03,50.17
church,6.0,9.01,50.17
adults,6.0,9.01,50.17
arrival,12.0,18.02,50.17
forgotten,12.0,18.02,50.17
stupid,6.0,9.01,50.17
quebec,12.0,18.02,50.17
carl,12.0,18.02,50.17
zoo,6.0,9.01,50.17
excluding,6.0,9.01,50.17
asin,6.0,9.01,50.17
proportion,6.0,9.01,50.17
respondents,6.0,9.01,50.17
celebrate,6.0,9.01,50.17
bridges,6.0,9.01,50.17
suits,6.0,9.01,50.17
patrol,6.0,9.01,50.17
clearing,6.0,9.01,50.17
scared,6.0,9.01,50.17
yellow,13.0,19.52,50.15
stuff,13.0,19.52,50.15
fundamentals,13.0,19.52,50.15
soul,7.0,10.51,50.14
dont,7.0,10.51,50.14
fixes,7.0,10.51,50.14
hawk,7.0,10.51,50.14
commitments,7.0,10.51,50.14
brothers,8.0,12.01,50.12
taste,8.0,12.01,50.12
definitely,8.0,12.01,50.12
hearts,8.0,12.01,50.12
shoot,8.0,12.01,50.12
gt,8.0,12.01,50.12
decline,8.0,12.01,50.12
commonwealth,8.0,12.01,50.12
vulnerability,8.0,12.01,50.12
squad,8.0,12.01,50.12
clara,8.0,12.01,50.12
golf,2.0,3.0,50.0
mon,1.0,1.5,50.0
rental,2.0,3.0,50.0
vacation,1.0,1.5,50.0
fishing,1.0,1.5,50.0
shirts,1.0,1.5,50.0
rw,1.0,1.5,50.0
pharmacy,1.0,1.5,50.0
toll,1.0,1.5,50.0
diff,2.0,3.0,50.0
blues,2.0,3.0,50.0
portland,2.0,3.0,50.0
outlet,1.0,1.5,50.0
ff,2.0,3.0,50.0
wow,1.0,1.5,50.0
directories,1.0,1.5,50.0
moderator,2.0,3.0,50.0
betting,1.0,1.5,50.0
classics,1.0,1.5,50.0
mph,2.0,3.0,50.0
subsection,1.0,1.5,50.0
grades,1.0,1.5,50.0
dodge,2.0,3.0,50.0
yards,1.0,1.5,50.0
glad,1.0,1.5,50.0
kerry,1.0,1.5,50.0
bulgaria,1.0,1.5,50.0
wooden,1.0,1.5,50.0
pleased,1.0,1.5,50.0
overnight,1.0,1.5,50.0
herein,1.0,1.5,50.0
peru,1.0,1.5,50.0
mills,2.0,3.0,50.0
lottery,1.0,1.5,50.0
pe,2.0,3.0,50.0
tee,1.0,1.5,50.0
gloves,2.0,3.0,50.0
subscriber,2.0,3.0,50.0
parenting,1.0,1.5,50.0
fy,1.0,1.5,50.0
ef,1.0,1.5,50.0
albany,1.0,1.5,50.0
recycling,1.0,1.5,50.0
oakland,2.0,3.0,50.0
juvenile,2.0,3.0,50.0
hb,1.0,1.5,50.0
msg,1.0,1.5,50.0
grill,1.0,1.5,50.0
vid,1.0,1.5,50.0
turbo,1.0,1.5,50.0
kingston,2.0,3.0,50.0
farms,1.0,1.5,50.0
expenditures,1.0,1.5,50.0
pie,1.0,1.5,50.0
exclude,1.0,1.5,50.0
indians,1.0,1.5,50.0
lil,2.0,3.0,50.0
unions,2.0,3.0,50.0
sunshine,2.0,3.0,50.0
therapeutic,1.0,1.5,50.0
wines,2.0,3.0,50.0
cheapest,1.0,1.5,50.0
christianity,1.0,1.5,50.0
prairie,2.0,3.0,50.0
cambodia,1.0,1.5,50.0
rats,1.0,1.5,50.0
contracting,1.0,1.5,50.0
arlington,2.0,3.0,50.0
beverage,1.0,1.5,50.0
photographers,2.0,3.0,50.0
bitch,1.0,1.5,50.0
nickname,2.0,3.0,50.0
enrolled,1.0,1.5,50.0
spirituality,1.0,1.5,50.0
hormone,1.0,1.5,50.0
grip,1.0,1.5,50.0
