id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
15,"Гимнастика США поддерживает независимое расследование, которое может пролить свет на то, как злоупотребление пропорцией, описываемой столь мужественно пережившими Ларри Нассара, могло остаться незамеченным в течение столь длительного времени и включать любые необходимые и надлежащие изменения.","USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.",52.253499022538286,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребления в такой степени, как это смело описали выжившие после Ларри Нассара, могли оставаться незамеченными так долго, и поддерживает любые необходимые и уместные изменения.",63.81743350764949
16,"Гимнастика США и ЮСОК преследуют одну и ту же цель: сделать спорт гимнастики и другие как можно более безопасными для спортсменов, чтобы они могли следовать своим мечтам в безопасной, позитивной и благоприятной обстановке.","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.",45.793880488681936,"Всё в гимнастике и Олимпийский комитет США преследуют одну и ту же цель — сделать спорт гимнастики, а также другие виды спорта, максимально безопасными для спортсменов, чтобы они могли следовать своим мечтам в безопасной, позитивной и вдохновляющей обстановке.",67.48964447770996
17,"На протяжении 1960-х годов Брезински работал на Джона Ф. Кеннеди в качестве его советника, а затем в администрации Линдона Б. Джонсона.","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.",62.27153301452516,"На протяжении 1960-х годов Бжезинский работал в качестве советника у Джона Ф. Кеннеди, а затем и в администрации Линдона Б. Джонсона.",80.23000215001552
18,"Во время отбора в 1976 году он консультировал Картера по вопросам внешней политики, а затем работал советником по вопросам национальной безопасности (НСБ) с 1977 по 1981 год, сменив Генри Киссинджера.","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.",76.9123525087353,"В ходе выборов 1976 года он консультировал Картера по вопросам внешней политики, а затем с 1977 по 1981 год занимал пост советника по национальной безопасности (NSA), сменив Генри Киссинджера.",75.92075761753254
19,"Как АНБ, он помогал Картеру в дипломатическом управлении мировыми делами, такими, как соглашения Кэмп-Дэвида 1978 года; нормализация отношений между США и Китаем думала о конце 70-х годов; иранская революция, которая привела к кризису с заложниками в Иране 1979 года; и советское вторжение в Афганистан 1979 года.","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.",48.15455425784052,"В качестве советника по национальной безопасности он помогал Картеру в дипломатическом решении мировых дел, таких как Кэмп-Дэвидские соглашения 1978 года; нормализация отношений США и Китая в конце 1970-х; Иранская революция, которая привела к захвату американских заложников в Иране в 1979 году; и советское вторжение в Афганистан в 1979 году.",61.751264376074424
20,Фильм с участием Райана Гослинга и Эммы Стоун был номинирован во всех основных категориях.,Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,69.45598194153911,Фильм с Райаном Гослингом и Эммой Стоун получил номинации во всех основных категориях.,58.06666677945168
21,Гослин и Стоун получили номинации соответственно на лучший актёр и актрису.,Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.,70.2611817949,Гослинг и Стоун получили номинации на лучшего актёра и актрису соответственно.,72.30063351797976
22,"К числу других кандидатов относятся Лучшая фотография, директор по кинематографии, дизайну костюмов, редактированию фильмов, оригинальной скрипке, дизайну производства, звуковому редактированию, смешению звуков и оригинальному скринплею.","Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".",28.555720129497626,"Другие номинации включают: Лучший фильм, Режиссура, Операторская работа, Дизайн костюмов, Монтаж фильма, Оригинальная музыка, ПрProduction Design, Звуковой монтаж, Звуковая обработка и Оригинальный сценарий.",27.900766262311187
23,"Две песни из фильма — «The Fools Who Dream» и «Sity of Stars» — были номинированы на лучшую оригинальную песню. Студия Lionsgate получила 26 номинаций — больше, чем любая другая студия.","Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.",64.03260483092497,"Две песни из фильма, ""Аудиша"" (Глупцы, которые мечтают) и ""Город звезд"", получили номинации на лучшую оригинальную песню. Студия Lionsgate получила 26 номинаций — больше, чем любая другая студия.",65.03137051489426
24,"В конце воскресенья президент Соединенных Штатов Дональд Трамп в заявлении, сделанном через пресс-секретаря, объявил, что американские войска покинут Сирию.","Поздно вечером в воскресенье президент США Дональд Трамп через пресс-секретаря заявил, что войска США покинут Сирию.",61.77231090429116,"Поздно в воскресенье президент Соединенных Штатов Дональд Трамп в заявлении, переданном через пресс-секретаря, объявил, что американские войска покинут Сирию.",87.72656395452191
25,Объявление было сделано после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоганом.,"Заявление было сделано после того, как Трамп провел телефонный разговор с президентом Турции Реджепом Тайипом Эрдоганом.",76.14072453311212,Объявление было сделано после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоаном.,97.0198885292124
26,"Турция также возьмет на себя функции по охране захваченных боевиков ИГИЛ, которые, как отмечалось в заявлении, европейские страны отказались репатриироваться.","Кроме того, Турция займет главную роль в вопросе охраны пойманных боевиков ИГИЛ, которых, согласно заявлению, европейские государства не согласились возвращать домой.",39.662551519512654,"Турция также возьмет на себя охрану захваченных бойцов ИГИЛ, которые, как говорится в заявлении, европейские страны отказались репатриировать.",80.7668474536526
27,"Это не только подтверждает, что по крайней мере у некоторых динозавров были перья, теория уже широко распространенная, но и содержит детали, которые обычно не могут, такие как цвет и трехмерная схема.","Это не только подтверждает, что, по крайней мере, у некоторых динозавров были перья, что является уже широко распространённой теорией, но и предоставляет детали, которые обычно нельзя получить из окаменелых остатков, такие как цвет и трехмерную структуру.",62.337204746069,"Это не только подтверждает, что как минимум у некоторых динозавров были перья, что уже широко распространенная теория, но и предоставляет детали, которые обычно не могут быть получены из окаменелостей, такие как цвет и трехмерное расположение.",65.76759851625627
28,"Ученые говорят, что опухоль этого животного была каштановой наверху с бледным или каротеноидным цветом.","Учёные говорят, что оперение этого животного было сверху каштаново-коричневого цвета, а снизу — либо бледным, либо имело каротиноидную пигментацию.",43.4542837161348,"Ученые утверждают, что оперение этого животного было каштаново-коричневым сверху с бледным или каротиноидным цветом снизу.",58.52517145390274
29,Находка также помогает понять эволюцию перьев у птиц.,Находка также позволяет ознакомиться с эволюцией перьев у птиц.,54.10299717443782,Это открытие также дает представление о эволюции перьев у птиц.,38.54132353453705
30,"Поскольку перья динозавров не имеют хорошо развитой шахты, называемой рачи, но имеют другие черты перьев — колючки и барбулы, — исследователи пришли к выводу, что рачи, вероятно, были более поздним эволюционным развитием, чем эти другие особенности.","Так как у перьев динозавров отсутствует хорошо развитый стержень, называемый рахисом, но все же имеются другие отличительные черты — бородки и бородочки — исследователи пришли к выводу, что рахис, скорее всего, появился позднее путем эволюционного развития других отличительных черт.",46.69613847054672,"Поскольку перья динозавров не имеют хорошо развитого стержня, называемого рачисом, но обладают другими признаками перьев — бородками и бородочками, исследователи пришли к выводу, что рачис, вероятно, был более поздним эволюционным развитием по сравнению с этими другими признаками.",61.565472102120324
31,"По мнению исследователей, несмотря на то, что это хвост молодого динозавра, образец показывает опухоль взрослого человека, а не девчонку.","Структура перьев наводит на мысль, что они не использовались для полёта, а скорее для регуляции температуры и демонстрирования. Исследователи предположили, что хотя это и хвост молодого динозавра, но в образце представлено взрослое оперение, а не пух цыплёнка.",27.723705601289474,"Структура перьев предполагает, что они не использовались для полёта, а скорее для терморегуляции или демонстрации. Исследователи предположили, что, хотя это хвост молодого динозавра, образец показывает взрослое оперение, а не пух птенца.",36.81053214840128
32,"Исследователи предположили, что, хотя это хвост молодого динозавра, образец показывает опухоль взрослого, а не девчонки.","Исследователи предположили, что, несмотря на то, что это хвост молодого динозавра, данный образец имеет оперение взрослой особи, а не пух цыплёнка.",56.487685129970735,"Исследователи предположили, что, хотя это хвост молодого динозавра, образец демонстрирует взрослое оперение, а не птичье пуховое оперение.",64.79919042265114
33,"Вчера утром в штаб-квартире полиции в Газиантепе, Турция, была взорвана машина, в результате чего два полицейских погибли и более 20 человек получили ранения.","Вчера утром возле главного полицейского управления Газиантепа (Турция) был подорван автомобиль, в результате чего погибли 2 полицейских и еще более 20 человек получили ранения.",56.48853492734737,"Вчера утром в Газьянтепе, Турция, у главного управления полиции прогремел автомобильный взрыв, в результате которого погибли два полицейских, а более двадцати человек получили ранения.",52.16873413644906
34,"По словам губернатора, 19 из раненых были сотрудниками полиции.","Канцелярия губернатора сообщила, что 19 из раненных были офицерами полиции.",48.54493366712041,"Офис губернатора сообщил, что девятнадцать из раненых были полицейскими.",43.65404440021813
35,"Полиция заявила, что она подозревает одного из предполагаемых боевиков Даеса (ИГИЛ) в том, что он несет ответственность за это нападение.","Полиция заявила, что в совершении нападения подозревается предполагаемый боевик ДАИШ (ИГИЛ).",57.00077824614953,"Полиция заявила, что подозревает предполагаемого боевика Даеш (ИГИЛ) в ответственности за атаку.",63.30851445817949
36,"Они обнаружили, что Солнце действовало по тем же основным принципам, что и другие звезды: активность всех звезд в системе была признана движущейся их светимостью, их вращением и ничего больше.","Они обнаружили, что Солнце работает по тем же основным принципам, что и другие звёзды: было установлено, что активность всех звёзд в системе определяется их яркостью, вращением и ничем другим.",63.21967327148236,"Они обнаружили, что Солнце функционирует на тех же основных принципах, что и другие звезды: выяснили, что активность всех звезд в системе определяется их светимостью, их вращением и ничем другим.",65.78589711455732
37,"Светочувствительность и вращение используются вместе для определения числа звезды Россби, которое связано с плазменным потоком.","Совокупность светимости и вращения используется для определения числа Россби звезды, связанного с потоком плазмы.",53.56525358962199,"Яркость и вращение используются вместе для определения числа Россби звезды, которое связано с потоком плазмы.",79.2596044646912
38,"Чем меньше число Россби, тем менее активна звезда с точки зрения магнитных откатов.","Чем меньше число Россби, тем менее активна звезда по отношению к инверсиям магнитного поля.",64.1202106594189,"Чем меньше число Россби, тем менее активна звезда в отношении магнитных переворотов.",70.87262847177792
39,Во время поездки Ивасаки часто сталкивался с проблемами.,Ивасаки часто попадал в неприятные ситуации во время путешествия.,33.53183558601855,Во время своей поездки Ивасаки столкнулся с трудностями много раз.,40.409362238162316
40,"Он был ограблен пиратами, атакован в Тибете бешеной собакой, сбежал от брака в Непале и был арестован в Индии.","Он был ограблен пиратами, атакован бешеной собакой в Тибете, избежал свадьбы в Непале и был арестован в Индии.",78.64046692328441,"Он был ограблен пиратами, напал в Тибете бешеной собакой, избежал женитьбы в Непале и был арестован в Индии.",75.20108134369218
41,"Стандарт 802.11n действует как на частотах 2,4 Гц, так и 5,0 Гц.",Стандарт 802.11n работает на обоих частотах – 2.4 ГГц и 5.0 ГГц.,44.012545051886256,Стандарт 802.11n работает на частотах 2.4 ГГц и 5.0 ГГц.,53.76294362678611
42,"Это позволит ему быть в обратном направлении совместимым с 802.11a, 802.11b и 802.11g при условии, что на базовой станции имеются два радиостанция.","Это обеспечит его обратную совместимость с 802.11a, 802.11b и 802.11g при условии, что у базовой станции есть двойной приемник.",59.07502029698907,"Это позволит обеспечить обратную совместимость с 802.11a, 802.11b и 802.11g, при условии, что базовая станция имеет два радиопередатчика.",58.17371857026931
43,"Скорость 802,11n значительно выше, чем у его предшественников с максимальной теоретической пропускной способностью 600 Мбит/с.","Скорости 802.11n значительно быстрее, чем у его предшественников с максимальной теоретической пропускной способностью в 600 Мбит/с.",84.49704736498683,"Скорости 802.11n значительно выше, чем у его предшественников, с максимальной теоретической пропускной способностью 600 Мбит/с.",91.19779594251327
44,"Дюваль, женатый на двух взрослых детях, не произвел большого впечатления на Миллера, с которым эта история была связана.","Дюваль, который женат и имеет двух совершеннолетних детей, не произвел большого впечатления на Миллера, которому рассказали эту историю.",51.860770106848584,"Дюваль, который женат и имеет двух взрослых детей, не произвел большого впечатления на Миллера, которому была рассказана эта история.",65.9557342755423
45,"Когда Миллер попросил комментарии, он сказал: ""Майк много разговаривал во время слушания... Я готовился, чтобы не слышать, что он говорит"".","Когда у Миллера попросили комментарий, он сказал: ""Майк много говорит во время слушаний... Я готовился, поэтому особо не слушал, что он говорил"".",62.74102246801528,"Когда его спросили о комментарии, Миллер сказал: «Майк много говорит на слушании... Я готовился, поэтому не очень слушал, что он говорил».",53.78796157879203
46,"«Мы постараемся сократить выбросы двуокиси углерода на единицу ВВП к 2020 году по сравнению с уровнем 2005 года», — сказал Ху.","""Мы будем предпринимать усилия с целью значительного сокращения выбросов углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года"", — сказал Ху.",53.08857245287053,"""Мы постараемся существенно сократить выбросы углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года,"" сказал Ху.",73.3454129270558
47,"Он не установил цифру для сокращений, сказав, что они будут сделаны на основе экономического производства Китая.","Он не назвал цифру для сокращений бюджетов, сказав, что они будут сделаны исходя из производительности экономики Китая.",59.1740242056482,"Он не установил конкретную цифру для сокращений, заявив, что они будут сделаны на основе экономического производства Китая.",83.0150820116529
48,"Ху призвал развивающиеся страны ""избегать старого пути загрязнения в первую очередь и убираться позже"".","Ху призывал развивающиеся страны ""избегать старой схемы, в которой сначала загрязняют, а потом очищают"".",50.76492132496169,"Ху призвал развивающиеся страны ""избегать старого пути, когда сначала загрязняют, а потом очищают"".",61.938475987971245
49,"Он добавил, что &quot; им не следует, однако, предлагать брать на себя обязательства, выходящие за рамки стадии их развития, ответственности и возможностей &quot; .","Он добавил, что ""их, однако, не следует просить брать на себя обязательства, которые выходят за рамки их стадии разработки, ответственности и возможностей"".",66.1561771152024,"Он добавил, что ""однако от них не следует требовать взятия на себя обязательств, которые выходят за пределы их стадии развития, ответственности и возможностей.""",60.94557893451081
50,Исследовательская группа по Ираку представила свой доклад сегодня в 12 час. 00 мин. по Гринвичу.,Сегодня в 12:00 по Гринвичу группа по изучению Ирака представила свой доклад.,61.84740451973394,Группа изучения Ирака представила свой отчет сегодня в 12:00 по Гринвичу.,54.25088605726456
