Word,2020,2021,2022,2023,2024
then,954.0,960.24,949.95,960.55,965.93
jan,22.0,22.95,25.2,23.93,22.07
good,191.0,195.11,198.76,199.38,195.22
video,429.0,460.99,469.38,484.71,539.84
well,653.0,677.14,681.2,703.58,694.32
d,489.0,474.38,440.45,448.38,433.74
where,1032.0,1068.32,1068.46,1073.97,1063.55
info,18.0,16.26,10.26,7.98,5.94
rights,103.0,104.25,109.18,114.31,111.19
public,337.0,346.22,346.2,343.81,347.16
books,94.0,89.9,84.92,92.16,78.09
high,420.0,426.56,431.12,449.26,454.11
school,118.0,115.73,89.58,87.73,96.76
through,754.0,754.61,763.32,763.83,771.56
m,529.0,511.68,451.65,437.74,412.52
each,1150.0,1133.35,1156.18,1172.33,1151.82
links,37.0,32.52,38.26,37.22,39.89
she,308.0,325.18,346.2,327.86,355.65
review,140.0,135.81,129.71,132.92,140.9
years,276.0,287.88,299.54,298.62,304.72
order,557.0,537.51,542.16,526.35,516.07
very,345.0,349.09,349.93,342.04,338.67
privacy,154.0,164.5,167.03,181.65,184.19
book,206.0,214.24,208.09,205.58,197.77
items,89.0,87.03,85.85,79.75,82.33
company,740.0,758.44,762.39,744.34,760.52
r,493.0,456.21,427.38,408.5,385.35
read,88.0,85.12,90.52,84.18,83.18
group,492.0,501.16,498.3,490.02,505.88
sex,15.0,15.3,14.93,14.18,13.58
need,268.0,270.67,276.21,267.61,252.09
many,760.0,746.0,747.46,754.97,727.42
user,744.0,710.62,684.93,670.79,650.18
said,252.0,251.54,271.55,283.56,293.68
de,255.0,240.06,174.5,157.73,168.91
does,282.0,270.67,276.21,286.22,275.86
set,1193.0,1105.62,1130.98,1143.09,1121.26
under,445.0,438.99,442.31,452.81,440.53
general,536.0,518.38,513.23,514.83,507.58
research,1160.0,1155.35,1141.25,1130.69,1138.24
university,757.0,740.27,657.87,634.46,604.35
january,231.0,238.15,239.82,244.57,246.15
mail,28.0,24.87,24.26,23.93,22.92
full,185.0,180.76,176.37,180.77,183.34
map,147.0,176.94,184.76,187.86,168.91
reviews,93.0,93.73,95.18,90.38,93.37
program,474.0,464.82,453.51,436.86,438.83
life,316.0,326.14,324.74,325.2,324.24
know,118.0,110.94,107.31,103.68,96.76
games,371.0,396.91,396.59,391.66,390.45
way,448.0,428.47,430.18,432.43,425.25
days,85.0,86.08,86.78,82.41,83.18
management,347.0,339.53,331.27,305.71,311.51
p,467.0,428.47,404.99,379.26,356.5
part,481.0,482.99,482.44,471.41,481.27
could,556.0,610.19,599.08,610.53,641.69
great,77.0,78.43,78.38,77.98,75.54
united,221.0,258.23,283.68,294.19,299.63
hotel,9.0,9.56,9.33,9.75,9.34
real,517.0,505.94,510.44,515.72,510.13
f,253.0,245.8,235.15,228.62,214.75
item,47.0,42.08,46.66,38.99,37.35
international,540.0,525.07,508.57,481.16,455.81
center,258.0,249.62,253.82,248.11,238.51
ebay,2.0,1.91,1.87,1.77,1.7
must,285.0,284.06,289.28,297.74,299.63
store,103.0,94.69,97.98,96.59,99.31
travel,34.0,37.3,35.46,34.56,40.74
comments,28.0,26.78,22.4,19.49,22.92
made,408.0,415.08,407.79,417.36,435.43
development,660.0,670.45,657.87,682.31,690.92
report,139.0,151.11,141.84,141.78,138.35
off,173.0,184.59,182.9,191.4,195.22
member,100.0,112.86,121.31,116.08,124.77
details,85.0,86.08,82.12,76.21,78.94
line,208.0,204.67,209.03,208.24,197.77
terms,296.0,279.27,275.28,278.24,266.52
before,237.0,249.62,256.62,266.72,271.62
hotels,4.0,4.78,4.67,4.43,4.24
did,111.0,128.16,128.78,129.37,145.99
send,40.0,43.04,41.06,37.22,39.04
right,326.0,334.75,329.4,326.09,325.09
type,499.0,477.25,474.98,463.44,443.92
because,391.0,391.17,392.86,388.12,385.35
local,237.0,253.45,255.68,254.32,244.45
those,328.0,333.79,341.53,335.84,333.58
using,1409.0,1408.8,1412.79,1399.18,1377.6
results,354.0,352.92,342.47,350.02,352.25
office,94.0,87.99,94.25,91.27,94.22
education,93.0,94.69,97.98,96.59,90.82
national,244.0,242.93,216.49,225.07,218.14
car,175.0,188.41,178.23,168.36,159.57
design,478.0,452.38,451.65,431.54,425.25
take,264.0,273.53,268.75,269.38,270.77
posted,26.0,25.82,24.26,26.58,27.16
internet,448.0,425.6,418.05,404.96,392.15
address,126.0,131.03,125.04,134.69,134.11
community,193.0,186.5,189.43,181.65,179.1
within,486.0,487.77,482.44,475.84,479.57
states,347.0,376.83,401.26,407.61,398.09
area,215.0,208.5,201.56,197.6,192.68
want,77.0,68.86,68.12,70.0,68.75
phone,129.0,124.33,124.11,120.51,121.38
dvd,21.0,19.13,19.6,19.49,20.37
shipping,31.0,29.65,34.53,31.9,31.41
reserved,12.0,11.48,9.33,9.75,9.34
subject,209.0,196.07,194.1,188.74,182.49
between,951.0,941.11,965.81,979.16,965.08
forum,31.0,35.39,32.66,31.9,31.41
family,102.0,100.42,99.85,99.25,101.01
l,331.0,307.01,286.48,267.61,252.94
long,189.0,197.98,205.29,195.83,195.22
based,1977.0,1950.13,1936.29,1966.29,1937.81
w,115.0,102.34,98.91,109.88,104.4
code,339.0,342.4,358.33,385.46,391.3
show,224.0,227.63,224.89,222.42,235.97
o,181.0,172.15,162.37,155.07,153.63
even,322.0,338.57,342.47,348.24,341.22
black,171.0,193.2,239.82,255.2,257.19
check,33.0,37.3,38.26,34.56,33.1
special,184.0,188.41,179.17,175.45,185.89
prices,9.0,7.65,7.47,10.63,9.34
website,169.0,162.59,153.04,148.87,150.24
index,72.0,79.38,76.52,84.18,87.43
being,586.0,594.89,609.35,631.8,662.06
women,33.0,42.08,40.13,43.42,44.99
much,256.0,262.06,256.62,259.63,247.85
sign,35.0,39.21,41.06,33.67,36.5
file,95.0,87.99,89.58,85.07,81.48
link,91.0,93.73,89.58,86.84,84.03
open,569.0,555.68,562.69,544.96,550.87
today,77.0,76.51,70.92,66.46,67.06
technology,1113.0,1093.18,1072.19,1072.2,1074.58
south,64.0,60.25,66.25,62.91,61.96
case,474.0,481.08,474.98,505.97,492.3
project,659.0,654.19,678.4,645.09,631.51
same,569.0,572.89,564.56,591.93,584.82
pages,99.0,97.55,96.11,91.27,88.28
uk,170.0,174.07,160.5,151.53,147.69
version,515.0,534.64,540.3,542.3,544.93
section,77.0,74.6,70.92,70.0,70.45
own,293.0,295.53,299.54,303.05,295.38
found,274.0,276.4,281.81,287.1,297.93
sports,45.0,44.95,45.72,49.62,49.23
house,75.0,75.56,77.45,78.86,75.54
related,338.0,335.7,335.0,336.72,332.73
security,296.0,300.31,295.81,338.5,328.49
both,652.0,665.67,677.47,679.65,678.19
g,633.0,623.58,613.08,624.71,592.46
county,10.0,9.56,10.26,10.63,10.19
american,185.0,184.59,177.3,173.68,173.16
photo,54.0,53.56,57.86,55.83,57.72
game,734.0,783.3,823.97,854.22,855.59
members,121.0,124.33,125.98,123.17,153.63
power,265.0,262.06,260.35,260.52,272.46
while,660.0,697.23,702.66,713.32,765.62
care,72.0,84.16,82.12,84.18,83.18
network,898.0,843.56,839.84,857.76,845.4
down,170.0,180.76,184.76,186.08,186.74
computer,1137.0,1009.02,1002.21,964.1,927.74
systems,1403.0,1321.77,1289.62,1293.73,1269.8
three,476.0,470.56,458.18,460.78,471.93
total,151.0,157.81,155.84,155.07,152.78
place,206.0,202.76,209.96,207.35,221.54
end,313.0,323.27,336.87,334.95,345.46
following,406.0,417.95,418.99,426.22,418.46
download,34.0,39.21,39.19,37.22,35.65
h,244.0,249.62,248.22,243.68,231.72
him,155.0,158.76,167.03,163.05,178.25
without,394.0,400.74,402.19,417.36,408.27
per,180.0,183.63,183.83,180.77,183.34
access,323.0,327.09,335.0,321.66,320.85
think,43.0,46.86,48.52,46.96,46.68
north,78.0,79.38,69.05,69.12,66.21
resources,204.0,196.07,197.83,194.06,190.13
current,266.0,257.28,256.62,256.97,245.3
posts,20.0,22.0,11.2,11.52,11.03
big,123.0,109.03,123.18,115.2,103.55
media,395.0,393.09,398.46,390.78,389.6
law,319.0,318.49,315.41,311.91,303.02
control,647.0,631.23,626.15,599.02,584.82
water,98.0,92.77,91.45,88.61,92.52
history,420.0,424.65,418.05,404.07,410.82
pictures,48.0,50.69,53.19,54.05,53.47
size,222.0,219.98,222.09,223.3,218.99
art,276.0,328.05,313.54,342.04,348.01
personal,187.0,187.46,183.83,184.31,184.19
since,477.0,497.34,518.83,516.61,524.56
including,645.0,678.1,676.54,684.08,699.41
guide,61.0,67.91,61.59,62.91,61.96
shop,12.0,11.48,14.0,12.41,11.03
directory,4.0,3.83,3.73,3.54,3.4
board,183.0,190.33,185.7,178.11,220.69
location,167.0,171.2,164.24,162.16,157.88
change,187.0,182.68,191.3,190.52,187.58
white,98.0,97.55,111.05,116.97,124.77
text,416.0,421.78,404.99,422.68,439.68
small,248.0,246.76,245.42,249.0,233.42
rating,59.0,57.38,60.66,58.48,56.87
rate,234.0,221.89,230.49,241.91,239.36
government,153.0,159.72,164.24,180.77,180.79
children,83.0,81.3,77.45,72.66,74.69
during,409.0,460.99,471.24,478.5,488.06
usa,125.0,117.64,83.05,80.64,67.9
return,87.0,82.25,86.78,85.95,87.43
students,91.0,90.86,97.98,94.81,101.01
v,174.0,168.33,168.9,155.96,149.39
shopping,20.0,20.08,20.53,19.49,18.67
account,132.0,131.99,128.78,126.71,123.08
times,237.0,235.28,233.29,225.07,218.14
sites,35.0,34.43,37.33,37.22,29.71
level,527.0,525.07,520.7,540.53,523.71
digital,537.0,548.98,570.16,573.32,564.45
profile,45.0,45.91,49.46,46.96,48.38
previous,245.0,243.89,248.22,249.0,249.55
form,476.0,464.82,452.58,446.6,437.98
events,200.0,206.59,213.69,215.33,209.65
love,44.0,41.13,43.86,43.42,67.06
old,93.0,98.51,95.18,100.13,95.07
john,116.0,128.16,128.78,112.54,112.89
main,332.0,324.22,340.6,339.38,332.73
call,93.0,89.9,85.85,79.75,82.33
hours,76.0,85.12,95.18,84.18,84.03
image,958.0,948.76,962.08,977.39,950.66
department,160.0,159.72,112.91,110.76,106.1
title,108.0,114.77,112.91,103.68,106.1
description,173.0,184.59,181.97,174.57,183.34
non,427.0,442.82,445.11,454.58,454.96
k,264.0,253.45,249.15,235.71,222.39
y,298.0,268.75,257.55,250.77,235.97
insurance,46.0,46.86,44.79,43.42,41.59
another,397.0,400.74,394.72,397.87,412.52
why,68.0,70.77,68.12,68.23,66.21
shall,9.0,10.52,11.2,11.52,13.58
property,128.0,124.33,125.04,119.63,116.29
class,341.0,310.84,349.0,348.24,337.82
cd,18.0,15.3,14.93,14.18,14.43
still,216.0,240.06,241.69,249.0,256.34
money,43.0,42.08,41.99,40.76,42.44
quality,203.0,188.41,195.96,202.92,199.47
every,250.0,237.19,238.89,238.37,230.87
listing,14.0,14.35,11.2,10.63,12.73
content,347.0,331.88,331.27,336.72,333.58
country,132.0,135.81,130.64,135.58,131.56
private,87.0,88.95,84.92,86.84,87.43
little,77.0,80.34,79.32,77.98,72.15
visit,10.0,9.56,8.4,7.09,10.19
save,30.0,38.26,41.99,39.88,39.89
tools,245.0,235.28,247.29,245.45,245.3
low,247.0,247.71,239.82,251.66,251.24
reply,9.0,8.61,8.4,7.98,7.64
customer,119.0,131.03,127.84,124.06,121.38
december,255.0,298.4,305.14,292.42,297.93
compare,39.0,38.26,41.06,42.53,38.2
movies,25.0,27.74,27.06,27.47,33.1
include,505.0,510.73,528.17,531.67,518.62
college,55.0,50.69,47.59,45.19,44.99
value,423.0,415.08,416.19,412.04,408.27
article,200.0,195.11,190.36,189.63,181.64
york,204.0,210.41,205.29,192.29,174.85
man,81.0,82.25,78.38,86.84,90.82
card,87.0,86.08,83.98,81.52,80.64
jobs,33.0,47.82,49.46,36.33,41.59
provide,355.0,354.83,359.26,351.79,343.76
j,505.0,461.95,418.05,404.07,379.41
food,70.0,73.64,68.12,65.57,66.21
source,494.0,477.25,473.11,465.21,474.48
author,78.0,79.38,79.32,78.86,71.3
different,827.0,831.13,830.51,860.42,845.4
press,212.0,198.93,186.63,177.22,171.46
u,207.0,209.46,204.36,203.81,198.62
learn,249.0,234.32,237.02,239.25,244.45
sale,32.0,31.56,29.86,28.36,27.16
around,259.0,263.01,256.62,264.06,268.22
print,38.0,39.21,42.93,41.65,38.2
course,81.0,78.43,70.92,71.78,70.45
job,44.0,47.82,45.72,45.19,42.44
canada,80.0,84.16,80.25,74.43,84.88
process,707.0,698.18,681.2,683.2,672.25
teen,1.0,0.96,2.8,2.66,3.4
room,47.0,45.91,49.46,46.08,47.53
stock,51.0,54.52,52.26,53.17,51.78
training,523.0,563.33,577.62,625.6,620.47
too,118.0,124.33,133.44,129.37,131.56
credit,46.0,51.65,51.32,51.39,49.23
point,494.0,514.55,510.44,504.2,496.55
join,32.0,37.3,36.39,37.22,42.44
science,596.0,554.72,522.57,525.47,515.22
men,34.0,38.26,41.99,40.76,42.44
categories,110.0,104.25,105.45,106.33,100.16
advanced,203.0,214.24,213.69,210.9,215.6
west,38.0,35.39,38.26,37.22,35.65
sales,52.0,54.52,49.46,44.31,43.29
look,94.0,99.47,97.98,97.47,95.91
english,127.0,129.12,127.84,133.8,142.6
left,123.0,137.72,142.77,141.78,148.54
team,242.0,259.19,291.14,294.19,521.16
estate,8.0,8.61,8.4,6.2,5.09
box,89.0,92.77,106.38,103.68,108.65
conditions,116.0,123.38,122.24,119.63,118.83
select,102.0,96.6,96.11,93.04,92.52
windows,180.0,177.89,178.23,173.68,171.46
photos,62.0,60.25,62.52,67.34,65.36
gay,8.0,6.69,7.47,7.09,7.64
thread,15.0,17.22,14.93,15.06,15.28
week,37.0,33.47,40.13,39.88,59.42
category,152.0,146.33,151.17,149.75,137.51
note,112.0,106.16,102.65,103.68,98.46
live,228.0,121.46,122.24,112.54,119.68
large,467.0,465.77,475.91,498.88,502.49
gallery,30.0,34.43,29.86,34.56,36.5
table,92.0,89.9,93.32,89.5,85.73
register,25.0,22.95,22.4,23.04,22.07
however,495.0,513.6,519.77,534.33,533.05
june,319.0,329.01,335.94,319.0,308.96
october,327.0,327.09,331.27,337.61,393.84
november,278.0,316.57,310.74,311.03,324.24
market,174.0,172.15,171.7,170.13,164.67
library,258.0,251.54,227.69,217.98,213.9
really,44.0,47.82,44.79,42.53,40.74
action,336.0,327.09,322.87,328.75,329.33
start,136.0,136.77,132.51,123.17,133.26
series,948.0,1022.41,1017.14,972.07,966.78
model,1281.0,1286.38,1305.48,1353.1,1324.13
features,677.0,670.45,681.2,681.42,663.76
air,103.0,107.12,106.38,100.13,107.8
industry,313.0,287.88,294.88,287.99,297.08
plan,153.0,147.29,146.51,157.73,157.88
human,1250.0,1227.08,1236.43,1237.02,1212.09
provided,183.0,187.46,180.1,175.45,177.4
tv,302.0,285.97,274.35,240.14,248.7
yes,11.0,7.65,4.67,6.2,6.79
required,211.0,210.41,206.23,207.35,196.92
second,427.0,432.3,420.85,409.39,417.61
hot,40.0,40.17,40.13,40.76,38.2
accessories,10.0,8.61,8.4,8.86,8.49
cost,211.0,223.8,221.16,219.76,214.75
movie,62.0,66.95,63.45,60.26,64.51
forums,12.0,9.56,9.33,8.86,7.64
march,291.0,317.53,330.34,311.03,317.45
la,62.0,59.3,39.19,39.88,35.65
september,284.0,294.58,293.01,311.91,308.96
better,253.0,254.41,257.55,255.2,258.03
say,67.0,65.99,64.39,63.8,61.11
questions,193.0,190.33,184.76,181.65,180.79
july,253.0,258.23,265.02,263.18,250.4
yahoo,14.0,13.39,14.0,13.29,12.73
going,57.0,62.17,58.79,56.71,59.42
medical,181.0,197.02,190.36,183.43,190.98
test,335.0,313.7,307.94,301.28,295.38
friend,38.0,41.13,40.13,38.99,42.44
come,96.0,104.25,96.11,95.7,95.91
dec,19.0,17.22,15.86,15.95,11.88
server,154.0,151.11,153.97,151.53,146.84
pc,58.0,52.6,56.92,55.83,51.78
study,246.0,225.71,215.56,223.3,224.93
application,600.0,568.11,561.76,539.65,533.05
cart,6.0,5.74,5.6,5.32,6.79
staff,47.0,56.43,55.99,56.71,54.32
articles,88.0,90.86,84.92,73.55,76.39
san,93.0,85.12,95.18,99.25,88.28
feedback,79.0,83.21,83.98,82.41,85.73
again,85.0,94.69,95.18,94.81,102.7
play,241.0,261.1,253.82,243.68,247.0
looking,72.0,65.04,64.39,63.8,63.66
issues,160.0,160.68,168.9,176.34,179.95
april,282.0,294.58,301.41,293.3,288.59
never,71.0,74.6,72.79,76.21,82.33
users,602.0,596.8,571.09,568.89,578.03
complete,155.0,149.2,153.04,159.5,151.09
street,48.0,47.82,50.39,46.08,44.99
topic,69.0,65.04,59.72,59.37,56.87
comment,11.0,12.43,10.26,9.75,11.03
financial,123.0,125.29,116.64,101.9,99.31
things,342.0,317.53,306.07,295.08,283.5
working,211.0,219.98,223.96,216.21,214.75
against,306.0,336.66,339.67,334.95,342.07
standard,346.0,338.57,336.87,344.7,340.37
tax,18.0,20.08,19.6,18.61,17.82
person,180.0,189.37,196.9,202.92,200.32
below,125.0,122.42,126.91,125.83,119.68
mobile,368.0,383.52,368.6,352.67,350.55
less,201.0,200.85,204.36,205.58,203.71
got,33.0,34.43,35.46,34.56,37.35
blog,49.0,55.47,50.39,56.71,55.17
party,99.0,91.82,90.52,93.04,90.82
payment,15.0,18.17,18.66,17.72,17.82
equipment,63.0,58.34,55.99,59.37,66.21
login,6.0,8.61,7.47,5.32,5.09
student,71.0,67.91,78.38,75.32,73.85
let,175.0,175.02,171.7,165.7,167.21
programs,213.0,199.89,201.56,195.83,202.86
offers,106.0,109.03,118.51,121.4,120.53
legal,373.0,392.13,396.59,394.32,375.17
above,202.0,197.02,197.83,194.95,190.13
recent,121.0,134.85,140.91,134.69,145.14
park,51.0,46.86,50.39,53.17,51.78
stores,26.0,26.78,29.86,26.58,24.62
side,76.0,87.03,89.58,93.93,89.97
act,118.0,116.68,114.78,124.94,134.11
problem,731.0,694.36,691.47,691.17,678.19
red,93.0,94.69,91.45,89.5,114.59
give,110.0,108.07,104.51,108.11,107.8
memory,405.0,385.44,392.86,386.35,365.83
performance,368.0,372.05,376.06,381.92,478.72
social,389.0,396.91,400.32,417.36,417.61
q,77.0,70.77,69.99,68.23,70.45
august,202.0,191.28,195.03,192.29,198.62
quote,6.0,4.78,4.67,4.43,4.24
language,831.0,762.26,750.26,744.34,767.31
story,227.0,240.06,251.95,243.68,247.0
sell,16.0,14.35,14.0,14.18,14.43
options,63.0,71.73,64.39,85.95,87.43
experience,178.0,159.72,161.44,160.39,167.21
rates,42.0,40.17,37.33,39.88,42.44
create,381.0,384.48,379.79,379.26,394.69
key,200.0,203.72,203.43,202.03,202.01
body,175.0,190.33,193.16,201.15,203.71
young,62.0,62.17,60.66,57.6,66.21
america,74.0,72.69,68.12,73.55,68.75
important,223.0,227.63,233.29,236.59,223.23
field,475.0,460.99,468.44,450.15,438.83
few,154.0,164.5,171.7,176.34,177.4
east,12.0,20.08,22.4,18.61,15.28
paper,194.0,191.28,237.02,249.0,252.09
single,383.0,385.44,384.46,390.78,381.96
ii,126.0,125.29,135.31,126.71,120.53
age,84.0,96.6,94.25,91.27,92.52
activities,160.0,163.55,157.7,161.27,154.48
club,21.0,17.22,19.6,18.61,19.52
example,875.0,874.16,898.63,907.38,894.63
girls,12.0,10.52,10.26,9.75,9.34
additional,182.0,183.63,179.17,186.08,181.64
password,8.0,7.65,7.47,6.2,5.94
z,86.0,84.16,86.78,82.41,77.24
latest,36.0,42.08,34.53,32.79,35.65
something,54.0,58.34,55.06,53.17,54.32
road,40.0,40.17,40.13,40.76,40.74
gift,3.0,4.78,2.8,2.66,4.24
question,160.0,156.85,158.64,154.18,152.78
changes,162.0,171.2,165.17,168.36,164.67
night,27.0,28.69,26.13,30.13,30.56
ca,42.0,28.69,24.26,23.93,19.52
hard,101.0,102.34,98.91,98.36,97.61
texas,30.0,28.69,31.73,29.24,28.01
oct,27.0,22.95,23.33,21.27,19.52
pay,57.0,61.21,57.86,54.05,54.32
four,212.0,208.5,228.62,225.96,234.27
poker,5.0,4.78,11.2,7.98,7.64
status,69.0,88.95,89.58,86.84,83.18
browse,5.0,5.74,4.67,3.54,5.09
issue,153.0,153.03,147.44,147.1,142.6
range,241.0,234.32,232.36,218.87,218.99
building,198.0,197.02,193.16,195.83,191.83
seller,2.0,1.91,1.87,1.77,1.7
court,36.0,40.17,41.99,31.01,34.8
february,214.0,210.41,215.56,206.47,202.01
always,125.0,142.51,138.11,135.58,128.17
result,271.0,272.58,276.21,287.1,293.68
audio,113.0,134.85,134.37,139.12,136.66
