id,translated_japanese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
26,"声明によると,欧州諸国が帰還を拒否したISIS戦闘員を警備する任務もトルコが担う.",トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。,23.986438444624987,トルコはまた、声明によれば、ヨーロッパ諸国が帰国を拒否した捕虜のISIS戦闘員の警備を引き受けることになります。,24.179559208288275
27,これは少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく 化石は一般的にできない色や3次元配置などの詳細を提供しています,これは、少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく、色や立体配置など、一般的には化石にはない詳細な点を伝えています。,55.69323604980514,これは、少なくとも一部の恐竜が羽毛を持っていたことを確認するだけでなく（これはすでに広く受け入れられている理論です）、色や三次元的な配置など、化石では一般的に提供されない詳細も提供します。,40.44531357838784
28,科学者はこの動物の羽は上にはカスタヌット茶色で 薄い下面が カロテノイド色だったと言います,.科学者によると、この動物の羽毛は外側が栗色で内側が暖色系の色でした。,16.933370594909864,科学者たちは、この動物の羽毛は上面が栗色で、下面は淡い色またはカロテノイド色であったと言っています。,29.958929787115306
29,鳥 の 羽 の 進化 に つい て も 洞察 を 与え て い ます.,この発見はまた、鳥類の羽毛の進化について探るための手がかりとなるものでした。,16.681500315807753,この発見は、鳥の羽毛の進化についての洞察も与えてくれます。,29.47703447601552
30,恐竜の羽はラキスと呼ばれる 十分に発達したシャフトを持っていないため 羽の他の特徴があるため  刺や刺  研究者はラキスが他の特徴よりも後の進化的発展だったと考えました,恐竜の羽毛には羽軸と呼ばれる十分に発達した軸がないものの、他の羽毛の特徴である綿羽や小羽枝があることから、研究者らは羽軸はこうした他の特徴よりも後に起きた進化であった可能性が高いと推測しています。,26.134998677210564,恐竜の羽毛には、ラキスと呼ばれるよく発達した軸がないものの、羽毛の他の特徴—バーブやバーブル—は持っているため、研究者たちはラキスがこれらの他の特徴よりも後の進化的発展である可能性が高いと推測しました。,33.7585245700712
31,"羽 の 構造 は,羽 が 飛行 に 用い られ た の で は なく,温度 調整 や 展示 に 用い られ た の を 示し て い ます.研究 者 たち は,この 羽 は 若い 恐竜 の 尾 で ある と し て も,その 羽 は 成人 の 羽 を 示す の で は あり,鶏 の 羽 が 落ち て いる の で は ない と 示唆 し まし た.",羽毛の構造から、飛行の目的ではなく、体温調節や視覚的効果に使用されていたと推測されます。研究者らは、これが若い恐竜の尾であるにもかかわらず、標本は大人の羽毛を示しており、ヒヨコの羽毛ではないことを示唆しました。,22.818271482159847,羽毛の構造は、それが飛行に使われたのではなく、温度調節やディスプレイのために使用されたことを示唆しています。研究者たちは、これは若い恐竜の尾であるにもかかわらず、このサンプルは雛の柔らかい羽毛ではなく、成体の羽毛を示していると提案しました。,28.675830000783392
32,研究者は このサンプルは若い恐竜の尾ですが 幼い羽の羽が 羽目ではなく 羽目を示しています,研究者らは、この標本が若い恐竜の尻尾であるにもかかわらず、ひなの羽毛ではなく大人の羽毛が生えていることを示唆している。,16.482526803120827,研究者たちは、この標本が若い恐竜の尾であるにもかかわらず、成体の羽毛を示しており、ひなの産毛ではないと提案しました。,18.422595235735415
33,"昨日の朝トルコのガジアンテップの警察署で爆発した自動車爆弾で警察官2人が死亡し,他の20人以上が負傷した.",昨日の朝、トルコのガジアンテップの警察本部で自動車爆弾の爆発により、警官2人が死亡し、負傷者は20人を超えました。,42.57784017671881,トルコのガジアンテプにある警察本部で昨日の朝、車の爆弾が detonatedし、2人の警察官が死亡し、20人以上の他の人々が負傷しました。,29.047229085657555
34,州知事事務所は負傷者のうち 19人が警察官だと述べた.,知事室の報道によれば、負傷者のうち19人は警官でした。,30.761409329390727,知事の事務所は、負傷者のうち19人が警察官であると述べました。,49.34971801983239
35,"警察は,ISILの武装分子が攻撃の責任者であると疑われていると伝えた.",警察は、攻撃に関与した過激派ダーシュ（ISIL）を疑っていると述べました。,14.444631011439995,警察は、攻撃の責任があるとされるダイシュ（ISIL）の過激派を疑っていると述べました。,21.426376574425984
36,恒星の活動が 照明力や回転によって 左右されると 分かりました,彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。星系内にあるすべての星の活動は、その光度と自転によってのみ駆動され、その他の要因はないことがわかりました。,10.463994048758444,彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。このシステム内のすべての星の活動は、その光度、回転によって駆動されており、他には何も関係していないことがわかりました。,11.12522983092136
37,"光度と回転は一緒に用いられ,プラズマ流量に関連した恒星のロスビー数を決定する.",光度と自転の組み合わせから、プラズマ流に関係する星のロスビー数が決定されます。,26.552343518287795,光度と回転は一緒に使われ、星のロスビー数を決定します。これはプラズマの流れに関連しています。,42.12339558025811
38,ロスビー数が小さいほど 磁気逆転に関して 恒星が活動が減る.,ロスビー数が小さいほど磁気反転に関して星の活性が低下するわけです。,45.62622417681382,ロスビー数が小さいほど、磁気反転に対する星の活動は少なくなります。,34.35374202060812
39,旅中にイワサキは何度もトラブルに巻き込まれた.,旅の途中、岩崎さんは何度もトラブルに見舞われました。,31.26344284579575,彼の旅行中、岩崎は何度も困難に直面しました。,11.633476773998524
40,ティベットの狂犬が襲撃し ネパールで結婚を逃し インドで逮捕されました,海賊に襲われたり、チベットで狂犬に襲われたり、ネパールでの結婚から逃れたり、インドで逮捕されたりしたのです。,22.747495438876374,,
41,802.11n規格は2.4Ghzと5.0Ghz周波数の両方で動作する.,802.11n規格に準拠していれば、2.4Ghzまたは5.0Ghzのどちらの周波数でも通信可能です。,33.51713873561238,802.11n標準は、2.4GHzおよび5.0GHzの両方の周波数で動作します。,30.452824994704763
42,"これにより,ベースステーションには二重ラジオがある限り,802.11a,802.11b,802.11gと逆の互換性がある.",これにより、基地局がデュアルバンド無線を搭載していれば、802.11a、802.11b、802.11gとの下位互換性を確保することができます。,27.98805120335428,これにより、基地局にデュアル無線が備わっている場合、802.11a、802.11b、802.11gとの後方互換性が確保されます。,31.344767134666707
43,"802.11nの速度は,理論上最大通力600Mbit/sの前駆よりもかなり速い.",802.11nの速度は、600Mbit/秒という理論上の最大スループットを持つ従来型の速度よりも大幅に高速です。,33.37200728313919,802.11nの速度はその前の規格よりも大幅に速く、最大理論スループットは600Mbit/sです。,39.01743046572624
44,物語 の 伝承 者 ミラー に 大きな 印象 を 留め ませ ん でし た.,既婚者であり、成人した2人の子を持つデュバルは、この話に関係するミラーにあまり印象を残しませんでした。,14.607309615581354,デュバルは結婚しており、成人した子供が二人いますが、物語を聞かされたミラーにはあまり大きな印象を残しませんでした。,18.677277818785782
45,"ミラー氏はコメントを求めたとき ""マイクが聴衆の会場でよく話している... 私は準備をしていたので,彼が言っていることは本当に聞かなかった""と答えた.",コメントを求められたミラー氏は、「公聴会ではマイクがよくしゃべるので、私は準備をしていたので、何を言っているのかよく聞こえなかった」と述べた。,34.60225089577616,コメントを求められたミラーは、「マイクは公聴会の間ずっと話していました…私は準備をしていたので、彼が何を言っているのか本当に聞いていませんでした。」と述べました。,30.17197534016457
46,"""我々は,GDP単位あたり二酸化炭素排出量を2020年までに2005年水準から顕著な差分削減する""と胡氏は述べた.",「我々は、2020年までにGDPあたりの二酸化炭素排出量を2005年の水準から大幅に削減するように努力する」と胡錦濤国家主席は述べました。,36.94649814127139,「私たちは、2005年の水準から2020年までにGDP単位あたりの二酸化炭素排出量を大幅に削減するよう努める」と胡は述べました。,41.34449229266863
47,"削減の数字を設定しなかったが,それは中国の経済生産量に基づいて行われるだろうと述べた.",胡氏は、削減する数値を定めませんでしたが、削減は中国の経済産出量に基づいて実施されるだろうと述べました。,29.851461261572847,彼は削減の具体的な数字を示さず、中国の経済生産に基づいて行われると述べました。,38.47593871975234
48,"発展途上国 は ""まず 汚染 経路 を 避け,後 に 清掃 を する""ことを 奨励 し まし た.",胡錦濤国家主席は、発展途上国に「まず汚染してから後始末をするというこれまでのやり方を避けるように」と呼びかけました。,15.54925627404743,胡は発展途上国に「まず汚染し、その後に清掃するという古い道を避けるように」と促しました。,22.65939566069636
49,"開発段階や責任や能力を超えた義務を負うよう要求されるべきではない""と付け加えた.",「しかし、発展段階、責任、能力を超えた義務を負うことを求められてはならない」と付け加えました。,30.762784819939544,彼は、「彼らに対して、発展段階、責任、能力を超える義務を負わせるべきではない」と付け加えました。,27.780137776550813
50,イラク研究グループは今日12時 (GMT) に報告書を提出しました,イラク研究会は、本日12時GMTに報告書を公開しました。,34.63596171998452,イラク調査団は、今日のグリニッジ標準時12時に報告書を発表しました。,21.58104350334095
51,警告 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 ,警告の内容は、現時点でイラクでどのような行動をとっても、宗派間抗争や暴力の拡大、あるいは混沌への滑落を阻止しうると保証できる者はいないというものでした。,0.661385110925854,"次のように翻訳できます：

「警告します。今の時点でイラクでのどの行動も、宗派間戦争の停止、暴力の増加、または混乱への滑りを止めることを保証する者はいません。」",0.653091537987822
52,報告書はオープンな議論と中東政策に関する米国での合意形成を促すことで始まります,報告書の冒頭は、公開討論と中東政策について米国内のコンセンサス形成を嘆願する一節で始まっています。,20.734772073466505,レポートは、中東に対する政策に関してアメリカ合衆国での公開討論と合意形成を求める訴えから始まります。,20.311276717923363
53,"この報告書は,イラクに対する行政当局の現在の政策のほぼすべての側面を極めて批判し,即時方向転換を促す.",本報告書は、イラクに対する行政府の現在の政策のほぼすべての側面を強く批判し、即時の方向転換を促すものです。,55.040560004902574,報告は、イラクに対する執行部の現在の政策のほぼすべての側面に対して非常に批判的であり、即時の方向転換を促しています。,42.06410747825591
54,"78の勧告の中で最初のものは,イラクの国境を敵意的な介入から守るために,同国の隣国との外交関係を回復するために,今年年末までに新たな外交イニシアチブが採択されるべきである.",78ある提言うち最初に挙げられているのは、敵対的な介入に対してイラクの国境を確保し、近隣諸国との外交関係を再び確立するために、年内に新たな外交主導権を発揮するべきだというものです。,25.63383726018227,その78の提言の中で最初に挙げられているのは、今年の終わりまでに新しい外交の取り組みを行い、イラクの国境を敵対的な介入から守り、隣国との外交関係を再構築するべきだということです。,29.370025188531855
55,"アルゼンチン大統領候補を務める現任上院議員であり,アルゼンチン第一夫人クリスティーナ・フェルナンデス・デ・キルッナー氏は,昨晩,ブエノス・アイレスから50キロ (31マイル) 離れたラプラタで大統領候補を発表した.",昨晩、ブエノスアイレスから50キロ（31マイル）離れたラプラタ市内で、現職上院議員であるクリスティーナ・フェルナンデス・デ・キルヒナー女史が大統領選への出馬を宣言しました。,45.90673216060587,現在の上院議員でアルゼンチンのファーストレディ、クリスティーナ・フェルナンデス・デ・キルチネルは、昨日の夕方、ブエノスアイレスから50キロメートル（31マイル）離れたラプラタ市で大統領候補としての立候補を発表しました。,45.16408682075826
56,キルッナー夫人は2005年にボエンスアイレス省代表団のメンバーとして上院選挙を開始した場所であるアルゼンチン劇場で大統領候補を申し出ることを発表した.,キルヒネル夫人は、アルゼンチン劇場で大統領選に出馬するという意向を表明しました。2005年にブエノスアイレス州の代表団の一員として上院選への出馬を表明したのもこの劇場でした。,30.111960304844576,キルチネル夫人は、アルゼンチン劇場で大統領選に立候補する意向を発表しました。この場所は、彼女がブエノスアイレス州代表として2005年の上院選挙キャンペーンを始めた場所でもあります。,29.590758830855794
57,"議論はハリケーンカトリーナの後援と復興費の議論によって引き起こされた. 財政保守派の中にはユーモア的に""ブッシュのニューオーリンズ取引""と称されている.",この議論は、ハリケーン・カトリーナの去った後の救済と復興にかかる支出をめぐる論争に端を発していました。一部の財政保守派は、ユーモアを込めてこれを「ブッシュのニューオリンズ政策」と呼んでいます。,25.242566281817663,その議論は、ハリケーン・カトリーナの影響を受けた救済と再建にかかる支出に関する論争から始まりました。一部の財政的保守派はこれをユーモラスに「ブッシュのニューオーリンズ取引」と呼んでいます。,28.043653848335538
58,"リベラルな批判は,ワシントン内側の人たちに対する再建契約の授与に焦点を当てています.",復興努力に対するリベラル派からの批判では、ワシントンの内部関係者と思われる人物と復興契約を交わしたことに焦点を当てています。,27.154104851313342,リベラル派の再建努力に対する批判は、再建契約がワシントンの内部者と見なされる人々に授与されることに焦点を当てています。,32.0300761614971
59,葬儀に 参加するために400万人以上がローマへ行った.,400万人以上が葬儀に参列しようとローマに向かいました。,32.74629204608176,400万人以上がローマに行って葬儀に出席しました。,44.50155887396281
60,"参拝者数はあまりに多くて,サン・ペテロ広場での葬儀には誰もが参加することができなかった.",参列者の数が多すぎて、全員がサンピエトロ広場での葬儀に参加することは不可能でした。,27.89737919105765,出席者の数が非常に多かったため、サン・ピエトロ広場での葬儀に誰もがアクセスすることは不可能でした。,24.636313373313804
61,"ローマの様々な場所で,多くの人々が儀式を見られるように,いくつかの大きなテレビ画面が設置されました.",ローマの各所には、人々に式典を見てもらおうと、大型テレビ画面がいくつも設置されていました。,24.09191510456805,ローマの各所に、セレモニーを観るためにいくつかの大型テレビ画面が設置されました。,40.78986113840084
62,"イタリアや世界 の 他 の 多くの 都市,特に ポーランド に は,同様の 設定 が され,多くの人々が 見つかりました.",イタリア国内の他の多くの都市や世界の他の地域（特にポーランド）で同じように設置がされ、多くの人々が視聴しました。,38.42023041667717,イタリアの他の多くの都市や、特にポーランドを含む世界の他の地域でも、同様の設置が行われ、多くの人々に見られました。,35.6012052525584
63,"歴史家は,FBIの成功率を高める目的で,簡単に解決できるケース,特に盗難自動車のケースにリソースを集中させた過去政策を批判している.",歴史家たちは、過去のFBIの方針が、解決しやすい事件、特に盗難車事件にリソースを集中させ、FBIの成功率を上げることを目的としていると批判しています。,29.80369710372256,歴史家たちは、FBIの過去の方針が、成功率を高める目的で、特に盗難車の事件など解決が容易なケースにリソースを集中させていることを批判しています。,40.82928625542966
64,議会は 2005年財政年度から 醜悪活動資金調達を開始し FBIが 10人のエージェントを 成人ポルノに 委ねなければならないと規定しました,連邦議会は2005年度から猥褻物取締法への資金提供を開始し、FBIはアダルトポルノに10人の捜査員を投入しなければならないと規定しました。,39.78538487946173,議会は2005会計年度に下品対策のための資金提供を開始し、FBIが成人向けポルノに10人のエージェントを専任する必要があると指定しました。,33.647473273046835
65,ロビン・ウッタッパは11・4と2・6を打って41ボールで70ランで最高スコアを記録した.,ロビン・ウタッパは、11本のフォーと2本のシックスを打って、わずか41球でイニング最高得点となる70ランを記録した。,23.368830059901192,ロビン・ウタッパは、41球で11本の4番と2本の6番を打ち、イニングの最高得点70ランを記録しました。,22.237506311395098
66,"中級のバットマン,サシン・テンデュールカーとラहुल・ドラヴィッドは,良きパフォーマンスをし,百走のパートナーシップを結んだ.",中軸のバッツマン、サチン・テンドルカール、ラホール・ドラヴィッドが連携してうまく試合を運び、100ランを達成しました。,17.34341332905834,中軸打者のサチン・テンドルカールとラハウル・ドリavidは好調で、100ランのパートナーシップを築きました。,23.634833067944808
67,"しかし,キャプテンのウィケットを失ったインドは,インニングを終了するために7ウィケットを失って36ランしか作らなかった.",しかし、キャプテンのウィケットを失った後、インドは7つのウィケットを失い、36ランしかできませんでした。,45.50790358860537,しかし、キャプテンのウィケットを失った後、インドは36ランしか得られず、7ウィケットを失ってイニングを終了しました。,53.46479033875661
68,"11月16日の朝,ジョージ・W・ブッシュ米国大統領はシンガポールに到着し,アジアを1週間旅した.",ブッシュ米大統領は16日午前、シンガポールに到着し、１週間のアジア歴訪を開始しました。,35.34049868353243,アメリカのジョージ・W・ブッシュ大統領は11月16日の朝にシンガポールに到着し、アジアを一週間巡るツアーを始めました。,47.083864268260136
