Word,Frequency 2022-01-01,Frequency 2024-11-01,Growth Rate (%)
siemens,0.96,1.79,86.46
expertise,0.96,1.79,86.46
erotic,0.96,1.79,86.46
loading,0.96,1.79,86.46
luck,0.96,1.79,86.46
lets,0.96,1.79,86.46
worse,0.96,1.79,86.46
expense,0.96,1.79,86.46
spray,0.96,1.79,86.46
placement,0.96,1.79,86.46
capability,0.96,1.79,86.46
shorts,0.96,1.79,86.46
alternatives,0.96,1.79,86.46
binary,0.96,1.79,86.46
enrollment,0.96,1.79,86.46
doll,0.96,1.79,86.46
intervention,0.96,1.79,86.46
michelle,0.96,1.79,86.46
roulette,0.96,1.79,86.46
honest,0.96,1.79,86.46
coding,0.96,1.79,86.46
hood,0.96,1.79,86.46
accommodations,0.96,1.79,86.46
msg,0.96,1.79,86.46
nylon,0.96,1.79,86.46
elegant,0.96,1.79,86.46
designing,0.96,1.79,86.46
attach,0.96,1.79,86.46
mega,0.96,1.79,86.46
unemployment,0.96,1.79,86.46
rely,0.96,1.79,86.46
laboratories,0.96,1.79,86.46
compressed,0.96,1.79,86.46
swim,0.96,1.79,86.46
warnings,0.96,1.79,86.46
inquiries,0.96,1.79,86.46
freight,0.96,1.79,86.46
expressions,0.96,1.79,86.46
blame,0.96,1.79,86.46
glenn,0.96,1.79,86.46
dishes,0.96,1.79,86.46
chrysler,0.96,1.79,86.46
refuse,0.96,1.79,86.46
shanghai,0.96,1.79,86.46
anticipated,0.96,1.79,86.46
evaluating,0.96,1.79,86.46
hammer,0.96,1.79,86.46
tex,0.96,1.79,86.46
advertisements,0.96,1.79,86.46
om,0.96,1.79,86.46
refurbished,0.96,1.79,86.46
precipitation,0.96,1.79,86.46
matched,0.96,1.79,86.46
incomplete,0.96,1.79,86.46
mild,0.96,1.79,86.46
readily,0.96,1.79,86.46
discussing,0.96,1.79,86.46
accreditation,0.96,1.79,86.46
qatar,0.96,1.79,86.46
urgent,0.96,1.79,86.46
promo,0.96,1.79,86.46
fairy,0.96,1.79,86.46
builds,0.96,1.79,86.46
hearings,0.96,1.79,86.46
scenic,0.96,1.79,86.46
consistency,0.96,1.79,86.46
raises,0.96,1.79,86.46
tsunami,0.96,1.79,86.46
stephanie,0.96,1.79,86.46
dispatch,0.96,1.79,86.46
breach,0.96,1.79,86.46
emerald,0.96,1.79,86.46
vagina,0.96,1.79,86.46
dip,0.96,1.79,86.46
hydraulic,0.96,1.79,86.46
petite,0.96,1.79,86.46
needle,0.96,1.79,86.46
baths,0.96,1.79,86.46
stranger,0.96,1.79,86.46
hk,0.96,1.79,86.46
likelihood,0.96,1.79,86.46
bless,0.96,1.79,86.46
greenhouse,0.96,1.79,86.46
frequencies,0.96,1.79,86.46
oaks,0.96,1.79,86.46
persian,0.96,1.79,86.46
hardwood,0.96,1.79,86.46
virtue,0.96,1.79,86.46
touched,0.96,1.79,86.46
sections,7.67,13.46,75.49
retail,15.35,26.92,75.37
emissions,6.71,11.66,73.77
signing,6.71,11.66,73.77
comics,18.22,31.4,72.34
picked,5.75,9.87,71.65
classification,11.51,19.74,71.5
danish,11.51,19.74,71.5
quality,20.14,34.1,69.31
tea,4.8,8.08,68.33
belgium,4.8,8.08,68.33
craft,4.8,8.08,68.33
tale,4.8,8.08,68.33
sustainability,4.8,8.08,68.33
extending,4.8,8.08,68.33
incidents,4.8,8.08,68.33
realm,4.8,8.08,68.33
fin,4.8,8.08,68.33
notre,4.8,8.08,68.33
dc,18.22,30.51,67.45
classes,13.43,22.43,67.01
automotive,8.63,14.36,66.4
transmission,8.63,14.36,66.4
marie,21.1,34.99,65.83
feed,12.47,20.64,65.52
vehicle,12.47,20.64,65.52
outer,7.67,12.56,63.75
turbo,7.67,12.56,63.75
dear,3.84,6.28,63.54
engage,3.84,6.28,63.54
hoping,3.84,6.28,63.54
bangkok,3.84,6.28,63.54
riverside,3.84,6.28,63.54
characterized,3.84,6.28,63.54
cio,3.84,6.28,63.54
kg,59.46,96.01,61.47
occupied,17.26,27.82,61.18
pounds,6.71,10.77,60.51
governments,6.71,10.77,60.51
partnership,16.3,26.02,59.63
knee,9.59,15.25,59.02
milwaukee,12.47,19.74,58.3
building,153.45,242.27,57.88
sector,15.35,24.23,57.85
agriculture,48.91,77.17,57.78
rural,33.57,52.94,57.7
agricultural,57.55,90.63,57.48
exchange,21.1,33.2,57.35
nc,5.75,8.97,56.0
electrical,5.75,8.97,56.0
paint,5.75,8.97,56.0
blind,5.75,8.97,56.0
rc,5.75,8.97,56.0
jam,5.75,8.97,56.0
delayed,5.75,8.97,56.0
bridges,5.75,8.97,56.0
munich,5.75,8.97,56.0
maintenance,8.63,13.46,55.97
volleyball,8.63,13.46,55.97
housewives,8.63,13.46,55.97
usd,2.88,4.49,55.9
lawyers,2.88,4.49,55.9
cooking,2.88,4.49,55.9
plain,2.88,4.49,55.9
eating,2.88,4.49,55.9
displays,2.88,4.49,55.9
pulse,2.88,4.49,55.9
generate,2.88,4.49,55.9
tube,2.88,4.49,55.9
lbs,2.88,4.49,55.9
centres,2.88,4.49,55.9
silk,2.88,4.49,55.9
warner,2.88,4.49,55.9
adopt,2.88,4.49,55.9
preference,2.88,4.49,55.9
litigation,2.88,4.49,55.9
logistics,2.88,4.49,55.9
weekends,2.88,4.49,55.9
joel,2.88,4.49,55.9
grocery,2.88,4.49,55.9
pumps,2.88,4.49,55.9
vic,2.88,4.49,55.9
statute,2.88,4.49,55.9
staying,2.88,4.49,55.9
millennium,2.88,4.49,55.9
reflects,2.88,4.49,55.9
coordinate,2.88,4.49,55.9
barrier,2.88,4.49,55.9
closure,2.88,4.49,55.9
cancellation,2.88,4.49,55.9
fallen,2.88,4.49,55.9
aurora,2.88,4.49,55.9
hyundai,2.88,4.49,55.9
openings,2.88,4.49,55.9
spa,7.67,11.66,52.02
malaysia,7.67,11.66,52.02
agreements,7.67,11.66,52.02
columns,7.67,11.66,52.02
restricted,7.67,11.66,52.02
catherine,7.67,11.66,52.02
wales,37.4,56.53,51.15
advice,9.59,14.36,49.74
tourist,9.59,14.36,49.74
installation,4.8,7.18,49.58
affiliate,4.8,7.18,49.58
contracts,4.8,7.18,49.58
guidance,4.8,7.18,49.58
channels,4.8,7.18,49.58
authorized,4.8,7.18,49.58
pure,4.8,7.18,49.58
sessions,4.8,7.18,49.58
swimming,4.8,7.18,49.58
vertical,4.8,7.18,49.58
karen,4.8,7.18,49.58
demands,4.8,7.18,49.58
letting,4.8,7.18,49.58
street,153.45,226.12,47.36
notice,6.71,9.87,47.09
thursday,6.71,9.87,47.09
soft,6.71,9.87,47.09
subscription,6.71,9.87,47.09
indicated,6.71,9.87,47.09
trans,6.71,9.87,47.09
clerk,6.71,9.87,47.09
compound,6.71,9.87,47.09
stanford,6.71,9.87,47.09
promote,13.43,19.74,46.98
welsh,15.35,22.43,46.12
appropriate,8.63,12.56,45.54
purposes,17.26,25.12,45.54
offices,17.26,25.12,45.54
indicates,8.63,12.56,45.54
bridge,34.53,50.25,45.53
wing,34.53,50.25,45.53
passenger,12.47,17.95,43.95
masters,16.3,23.33,43.13
visa,22.06,31.4,42.34
scotland,45.08,63.71,41.33
visiting,5.75,8.08,40.52
marks,5.75,8.08,40.52
spaces,5.75,8.08,40.52
absence,5.75,8.08,40.52
emerging,5.75,8.08,40.52
rica,5.75,8.08,40.52
totals,5.75,8.08,40.52
dozen,5.75,8.08,40.52
canal,5.75,8.08,40.52
quick,7.67,10.77,40.42
opinion,7.67,10.77,40.42
hat,7.67,10.77,40.42
winds,7.67,10.77,40.42
municipal,17.26,24.23,40.38
bar,19.18,26.92,40.35
businesses,9.59,13.46,40.35
expansion,9.59,13.46,40.35
alice,9.59,13.46,40.35
dame,9.59,13.46,40.35
pick,11.51,16.15,40.31
indoor,23.02,32.3,40.31
shuttle,11.51,16.15,40.31
arabia,13.43,18.84,40.28
compare,1.92,2.69,40.1
thank,3.84,5.38,40.1
anal,3.84,5.38,40.1
virtual,3.84,5.38,40.1
gear,1.92,2.69,40.1
component,3.84,5.38,40.1
guys,1.92,2.69,40.1
opinions,1.92,2.69,40.1
cent,3.84,5.38,40.1
compatible,1.92,2.69,40.1
bath,1.92,2.69,40.1
portfolio,1.92,2.69,40.1
utility,1.92,2.69,40.1
gambling,1.92,2.69,40.1
certainly,3.84,5.38,40.1
liability,1.92,2.69,40.1
cream,1.92,2.69,40.1
patterns,1.92,2.69,40.1
mn,1.92,2.69,40.1
wheel,3.84,5.38,40.1
tracking,1.92,2.69,40.1
managers,1.92,2.69,40.1
investor,1.92,2.69,40.1
ram,1.92,2.69,40.1
fiscal,1.92,2.69,40.1
ia,1.92,2.69,40.1
buyers,1.92,2.69,40.1
lunch,1.92,2.69,40.1
upload,1.92,2.69,40.1
exam,1.92,2.69,40.1
humor,1.92,2.69,40.1
imagine,1.92,2.69,40.1
cache,1.92,2.69,40.1
highlights,3.84,5.38,40.1
spectrum,1.92,2.69,40.1
obligation,1.92,2.69,40.1
casual,1.92,2.69,40.1
broker,1.92,2.69,40.1
telecom,1.92,2.69,40.1
motors,3.84,5.38,40.1
decrease,1.92,2.69,40.1
emails,1.92,2.69,40.1
makers,1.92,2.69,40.1
sad,3.84,5.38,40.1
sectors,1.92,2.69,40.1
fits,1.92,2.69,40.1
comply,1.92,2.69,40.1
sized,3.84,5.38,40.1
deadline,1.92,2.69,40.1
liable,1.92,2.69,40.1
nike,3.84,5.38,40.1
jeans,1.92,2.69,40.1
allocation,1.92,2.69,40.1
priorities,1.92,2.69,40.1
liked,1.92,2.69,40.1
amber,1.92,2.69,40.1
contests,1.92,2.69,40.1
ethical,3.84,5.38,40.1
seniors,1.92,2.69,40.1
activation,1.92,2.69,40.1
reuters,1.92,2.69,40.1
termination,1.92,2.69,40.1
depend,1.92,2.69,40.1
strictly,1.92,2.69,40.1
panels,1.92,2.69,40.1
connecting,3.84,5.38,40.1
spare,1.92,2.69,40.1
approx,1.92,2.69,40.1
precious,1.92,2.69,40.1
theaters,1.92,2.69,40.1
constitute,1.92,2.69,40.1
locally,1.92,2.69,40.1
oasis,3.84,5.38,40.1
exports,1.92,2.69,40.1
solomon,1.92,2.69,40.1
cups,1.92,2.69,40.1
imported,1.92,2.69,40.1
reactions,1.92,2.69,40.1
advise,1.92,2.69,40.1
humidity,1.92,2.69,40.1
trick,3.84,5.38,40.1
retro,1.92,2.69,40.1
ur,1.92,2.69,40.1
trinidad,1.92,2.69,40.1
rid,1.92,2.69,40.1
nicole,3.84,5.38,40.1
indirect,1.92,2.69,40.1
attract,3.84,5.38,40.1
succeed,1.92,2.69,40.1
competitors,1.92,2.69,40.1
rocket,1.92,2.69,40.1
exams,1.92,2.69,40.1
dig,1.92,2.69,40.1
synthetic,3.84,5.38,40.1
breakdown,3.84,5.38,40.1
belize,1.92,2.69,40.1
oval,1.92,2.69,40.1
diane,1.92,2.69,40.1
ix,1.92,2.69,40.1
activated,1.92,2.69,40.1
lit,3.84,5.38,40.1
valuation,1.92,2.69,40.1
appointments,3.84,5.38,40.1
infants,1.92,2.69,40.1
kai,1.92,2.69,40.1
jill,1.92,2.69,40.1
accurately,1.92,2.69,40.1
speeches,1.92,2.69,40.1
earthquake,1.92,2.69,40.1
eds,3.84,5.38,40.1
kills,1.92,2.69,40.1
impressed,3.84,5.38,40.1
planes,3.84,5.38,40.1
tackle,1.92,2.69,40.1
dash,1.92,2.69,40.1
wives,1.92,2.69,40.1
acknowledged,3.84,5.38,40.1
phases,1.92,2.69,40.1
fathers,1.92,2.69,40.1
suggesting,1.92,2.69,40.1
salvation,1.92,2.69,40.1
sacrifice,1.92,2.69,40.1
curves,1.92,2.69,40.1
contamination,1.92,2.69,40.1
monitored,1.92,2.69,40.1
biodiversity,3.84,5.38,40.1
tiles,1.92,2.69,40.1
expanded,25.9,35.89,38.57
saudi,22.06,30.51,38.3
ultimately,16.3,22.43,37.61
tenant,16.3,22.43,37.61
challenge,30.69,42.17,37.41
draw,30.69,42.17,37.41
clothing,28.77,39.48,37.23
accordance,12.47,17.05,36.73
rooms,10.55,14.36,36.11
ac,10.55,14.36,36.11
land,138.11,187.53,35.78
wisconsin,27.81,37.69,35.53
pride,8.63,11.66,35.11
mls,8.63,11.66,35.11
describing,8.63,11.66,35.11
organic,25.9,34.99,35.1
ny,23.98,32.3,34.7
represent,22.06,29.61,34.22
hosting,6.71,8.97,33.68
customers,6.71,8.97,33.68
colour,6.71,8.97,33.68
ages,6.71,8.97,33.68
exact,6.71,8.97,33.68
mechanical,6.71,8.97,33.68
fabric,6.71,8.97,33.68
chile,6.71,8.97,33.68
victim,6.71,8.97,33.68
designated,20.14,26.92,33.66
operates,13.43,17.95,33.66
commercial,36.45,48.45,32.92
interests,11.51,15.25,32.49
experts,11.51,15.25,32.49
stopped,11.51,15.25,32.49
ferrari,39.32,52.04,32.35
upper,48.91,64.6,32.08
focus,25.9,34.1,31.66
platinum,25.9,34.1,31.66
easy,9.59,12.56,30.97
wedding,9.59,12.56,30.97
lists,9.59,12.56,30.97
emergency,9.59,12.56,30.97
violence,9.59,12.56,30.97
purple,9.59,12.56,30.97
temperatures,9.59,12.56,30.97
punch,9.59,12.56,30.97
connection,14.39,18.84,30.92
residential,14.39,18.84,30.92
camera,4.8,6.28,30.83
enterprise,4.8,6.28,30.83
lots,4.8,6.28,30.83
specialist,4.8,6.28,30.83
expenses,4.8,6.28,30.83
deliver,4.8,6.28,30.83
decide,4.8,6.28,30.83
photographs,4.8,6.28,30.83
spending,4.8,6.28,30.83
acquisition,4.8,6.28,30.83
convert,4.8,6.28,30.83
mutual,4.8,6.28,30.83
modeling,4.8,6.28,30.83
penalty,4.8,6.28,30.83
vast,4.8,6.28,30.83
greatly,4.8,6.28,30.83
spots,4.8,6.28,30.83
emission,4.8,6.28,30.83
acquire,4.8,6.28,30.83
intense,4.8,6.28,30.83
fifty,4.8,6.28,30.83
intention,4.8,6.28,30.83
exhibits,4.8,6.28,30.83
midlands,4.8,6.28,30.83
agrees,4.8,6.28,30.83
shaw,4.8,6.28,30.83
sustained,4.8,6.28,30.83
warming,4.8,6.28,30.83
griffin,4.8,6.28,30.83
accompanying,4.8,6.28,30.83
gaps,4.8,6.28,30.83
revelation,4.8,6.28,30.83
absorption,4.8,6.28,30.83
farmers,41.24,53.84,30.55
opened,56.59,73.58,30.02
strike,12.47,16.15,29.51
def,12.47,16.15,29.51
pro,32.61,42.17,29.32
scottish,40.28,52.04,29.2
delivery,7.67,9.87,28.68
periods,7.67,9.87,28.68
duration,7.67,9.87,28.68
sacramento,7.67,9.87,28.68
chemicals,7.67,9.87,28.68
franchise,7.67,9.87,28.68
diesel,7.67,9.87,28.68
grain,7.67,9.87,28.68
janet,7.67,9.87,28.68
wages,7.67,9.87,28.68
politicians,7.67,9.87,28.68
prix,7.67,9.87,28.68
sheriff,7.67,9.87,28.68
measuring,15.35,19.74,28.6
scored,90.15,115.75,28.4
porsche,25.9,33.2,28.19
apartments,18.22,23.33,28.05
downtown,18.22,23.33,28.05
cooper,10.55,13.46,27.58
corn,10.55,13.46,27.58
shield,10.55,13.46,27.58
elevation,10.55,13.46,27.58
solutions,13.43,17.05,26.95
numbers,13.43,17.05,26.95
reviewed,13.43,17.05,26.95
entrance,13.43,17.05,26.95
unusual,13.43,17.05,26.95
goal,89.2,113.06,26.75
grade,22.06,27.82,26.11
file,5.75,7.18,24.87
users,5.75,7.18,24.87
log,5.75,7.18,24.87
bed,5.75,7.18,24.87
cat,5.75,7.18,24.87
detail,5.75,7.18,24.87
looks,5.75,7.18,24.87
provision,5.75,7.18,24.87
engines,5.75,7.18,24.87
paragraph,5.75,7.18,24.87
catch,5.75,7.18,24.87
banner,5.75,7.18,24.87
conferences,5.75,7.18,24.87
pour,5.75,7.18,24.87
ukraine,5.75,7.18,24.87
supplement,5.75,7.18,24.87
partnerships,5.75,7.18,24.87
ralph,5.75,7.18,24.87
moderate,5.75,7.18,24.87
coal,5.75,7.18,24.87
intent,5.75,7.18,24.87
indianapolis,5.75,7.18,24.87
eliminate,5.75,7.18,24.87
worlds,5.75,7.18,24.87
offensive,5.75,7.18,24.87
chuck,5.75,7.18,24.87
quarters,5.75,7.18,24.87
partially,5.75,7.18,24.87
marble,5.75,7.18,24.87
pest,5.75,7.18,24.87
cleared,5.75,7.18,24.87
joins,5.75,7.18,24.87
opponents,5.75,7.18,24.87
vault,5.75,7.18,24.87
sexually,5.75,7.18,24.87
excellent,8.63,10.77,24.8
vision,8.63,10.77,24.8
examples,8.63,10.77,24.8
demo,8.63,10.77,24.8
transition,8.63,10.77,24.8
landscape,8.63,10.77,24.8
passing,8.63,10.77,24.8
feels,8.63,10.77,24.8
concerts,8.63,10.77,24.8
generations,8.63,10.77,24.8
dubai,8.63,10.77,24.8
nominations,8.63,10.77,24.8
simple,11.51,14.36,24.76
sample,11.51,14.36,24.76
outdoor,11.51,14.36,24.76
salt,11.51,14.36,24.76
developers,11.51,14.36,24.76
morris,11.51,14.36,24.76
pole,11.51,14.36,24.76
ol,11.51,14.36,24.76
planned,28.77,35.89,24.75
visit,14.39,17.95,24.74
centers,14.39,17.95,24.74
installed,14.39,17.95,24.74
converted,14.39,17.95,24.74
jonathan,14.39,17.95,24.74
guilty,14.39,17.95,24.74
economy,23.02,28.71,24.72
performances,23.02,28.71,24.72
info,2.88,3.59,24.65
accommodation,2.88,3.59,24.65
fl,2.88,3.59,24.65
provider,2.88,3.59,24.65
pocket,2.88,3.59,24.65
generated,2.88,3.59,24.65
improvement,2.88,3.59,24.65
priority,2.88,3.59,24.65
vintage,2.88,3.59,24.65
guaranteed,2.88,3.59,24.65
managing,2.88,3.59,24.65
cam,2.88,3.59,24.65
anywhere,2.88,3.59,24.65
dolls,2.88,3.59,24.65
execution,2.88,3.59,24.65
affordable,2.88,3.59,24.65
properly,2.88,3.59,24.65
polls,2.88,3.59,24.65
doors,2.88,3.59,24.65
sheets,2.88,3.59,24.65
doctors,2.88,3.59,24.65
tight,2.88,3.59,24.65
cr,2.88,3.59,24.65
ing,2.88,3.59,24.65
exciting,2.88,3.59,24.65
su,2.88,3.59,24.65
familiar,2.88,3.59,24.65
necessarily,2.88,3.59,24.65
chairs,2.88,3.59,24.65
obvious,2.88,3.59,24.65
crash,2.88,3.59,24.65
danger,2.88,3.59,24.65
compiled,2.88,3.59,24.65
proven,2.88,3.59,24.65
lenses,2.88,3.59,24.65
blade,2.88,3.59,24.65
rainbow,2.88,3.59,24.65
katrina,2.88,3.59,24.65
heading,2.88,3.59,24.65
trim,2.88,3.59,24.65
differ,2.88,3.59,24.65
surprised,2.88,3.59,24.65
deemed,2.88,3.59,24.65
kingston,2.88,3.59,24.65
crucial,2.88,3.59,24.65
yo,2.88,3.59,24.65
balanced,2.88,3.59,24.65
springfield,2.88,3.59,24.65
rabbit,2.88,3.59,24.65
participant,2.88,3.59,24.65
motel,2.88,3.59,24.65
contributors,2.88,3.59,24.65
concentrations,2.88,3.59,24.65
cheaper,2.88,3.59,24.65
exceptions,2.88,3.59,24.65
jeep,2.88,3.59,24.65
americas,2.88,3.59,24.65
pathology,2.88,3.59,24.65
possibilities,2.88,3.59,24.65
batch,2.88,3.59,24.65
sage,2.88,3.59,24.65
sussex,2.88,3.59,24.65
insights,2.88,3.59,24.65
terrace,2.88,3.59,24.65
vegetable,2.88,3.59,24.65
bullet,2.88,3.59,24.65
determines,2.88,3.59,24.65
thumb,2.88,3.59,24.65
humanity,2.88,3.59,24.65
incoming,2.88,3.59,24.65
isolation,2.88,3.59,24.65
headline,2.88,3.59,24.65
tribes,2.88,3.59,24.65
shed,2.88,3.59,24.65
dans,2.88,3.59,24.65
conspiracy,2.88,3.59,24.65
sewing,2.88,3.59,24.65
occurring,2.88,3.59,24.65
gasoline,2.88,3.59,24.65
dealt,2.88,3.59,24.65
specially,2.88,3.59,24.65
merger,2.88,3.59,24.65
wound,2.88,3.59,24.65
lazy,2.88,3.59,24.65
blowing,2.88,3.59,24.65
tear,2.88,3.59,24.65
plots,2.88,3.59,24.65
trauma,2.88,3.59,24.65
reflections,2.88,3.59,24.65
presently,2.88,3.59,24.65
richards,2.88,3.59,24.65
sympathy,2.88,3.59,24.65
jets,2.88,3.59,24.65
martin,84.4,104.98,24.38
environment,47.0,58.32,24.09
section,88.24,109.47,24.06
m,244.57,303.28,24.01
food,59.46,73.58,23.75
above,56.59,69.99,23.68
vehicles,21.1,26.02,23.32
quarter,15.35,18.84,22.74
regularly,15.35,18.84,22.74
brick,15.35,18.84,22.74
livestock,15.35,18.84,22.74
act,117.01,143.57,22.7
farming,40.28,49.35,22.52
apply,12.47,15.25,22.29
participants,12.47,15.25,22.29
bonus,12.47,15.25,22.29
universities,12.47,15.25,22.29
beef,12.47,15.25,22.29
crossing,12.47,15.25,22.29
domestic,34.53,42.17,22.13
students,53.71,65.5,21.95
streets,19.18,23.33,21.64
athletics,19.18,23.33,21.64
cool,9.59,11.66,21.58
panel,9.59,11.66,21.58
respect,9.59,11.66,21.58
visitors,9.59,11.66,21.58
commerce,9.59,11.66,21.58
advertisement,9.59,11.66,21.58
translation,9.59,11.66,21.58
compact,9.59,11.66,21.58
classified,9.59,11.66,21.58
stable,9.59,11.66,21.58
leg,9.59,11.66,21.58
corresponding,9.59,11.66,21.58
participating,9.59,11.66,21.58
cuba,9.59,11.66,21.58
shut,9.59,11.66,21.58
occasions,9.59,11.66,21.58
sculpture,9.59,11.66,21.58
blocked,9.59,11.66,21.58
preston,9.59,11.66,21.58
purse,9.59,11.66,21.58
employees,25.9,31.4,21.24
estate,16.3,19.74,21.1
brand,16.3,19.74,21.1
alternative,16.3,19.74,21.1
criteria,16.3,19.74,21.1
assists,16.3,19.74,21.1
department,114.13,138.18,21.07
affairs,39.32,47.56,20.96
contract,59.46,71.78,20.72
sixth,29.73,35.89,20.72
aug,6.71,8.08,20.42
respective,6.71,8.08,20.42
coffee,6.71,8.08,20.42
premium,6.71,8.08,20.42
meter,6.71,8.08,20.42
associations,6.71,8.08,20.42
supposed,6.71,8.08,20.42
phrase,6.71,8.08,20.42
decline,6.71,8.08,20.42
sue,6.71,8.08,20.42
terrorist,6.71,8.08,20.42
ceiling,6.71,8.08,20.42
seeks,6.71,8.08,20.42
focusing,6.71,8.08,20.42
obtaining,6.71,8.08,20.42
innocent,6.71,8.08,20.42
conducting,6.71,8.08,20.42
milton,6.71,8.08,20.42
sudden,6.71,8.08,20.42
consequence,6.71,8.08,20.42
pushed,6.71,8.08,20.42
belfast,6.71,8.08,20.42
clearing,6.71,8.08,20.42
softball,6.71,8.08,20.42
chargers,6.71,8.08,20.42
sentences,6.71,8.08,20.42
upset,6.71,8.08,20.42
senators,6.71,8.08,20.42
partner,20.14,24.23,20.31
wins,20.14,24.23,20.31
eggs,20.14,24.23,20.31
developing,13.43,16.15,20.25
nor,13.43,16.15,20.25
seconds,13.43,16.15,20.25
controlled,13.43,16.15,20.25
ridge,13.43,16.15,20.25
ranging,13.43,16.15,20.25
height,23.98,28.71,19.72
express,17.26,20.64,19.58
protected,17.26,20.64,19.58
metro,17.26,20.64,19.58
roads,17.26,20.64,19.58
declared,17.26,20.64,19.58
seventh,17.26,20.64,19.58
ko,17.26,20.64,19.58
appears,27.81,33.2,19.38
olympic,27.81,33.2,19.38
climate,140.03,166.89,19.18
involvement,10.55,12.56,19.05
destruction,10.55,12.56,19.05
chorus,10.55,12.56,19.05
citizenship,10.55,12.56,19.05
remainder,10.55,12.56,19.05
data,39.32,46.66,18.67
laws,28.77,34.1,18.53
