id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
10,"Хотя одна экспериментальная вакцина, по-видимому, способна снизить смертность от Эболы, до сих пор не было доказано, что никакие лекарства подходят для лечения существующей инфекции.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.",12.018055512051939,"Хотя одна экспериментальная вакцина, похоже, способна снизить смертность от Эбола, до сих пор ни одно лекарство не было четко продемонстрировано как подходящее для лечения существующей инфекции.",44.592163476139476
11,"Один антител коктейль, ZMapp, изначально показал перспективы в этой области, но официальные исследования показали, что он приносит меньшую пользу, чем ожидается в предотвращении смерти.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",43.485960528703046,"Один коктейль антител, ZMapp, изначально показал многообещающие результаты в этой области, но формальные исследования показали, что он менее эффективен, чем ожидалось, в предотвращении смерти.",44.536772636240784
12,"В исследовании PALM ZMapp служил контрольным средством, а это означает, что ученые использовали его в качестве основной линии и сравнивали с ним три других метода лечения.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.",20.90181206308033,"В испытании PALM ZMapp использовался в качестве контроля, что означает, что ученые использовали его в качестве базового уровня и сравнивали три других лечения с ним.",32.802934634269654
13,США Гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютную необходимость Олимпийской семьи способствовать безопасной среде для всех наших спортсменов.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,41.09080290971358,Союз гимнастики США поддерживает письмо Олимпийского комитета Соединенных Штатов и признает абсолютную необходимость создания безопасной среды для всех наших спортсменов в Олимпийской семье.,23.97225581638978
14,"Мы согласны с заявлением USOC, что интересы наших спортсменов и клубов, и их спорт, могут быть лучше обслуживаются, если мы двигаемся вперед с значительными изменениями в нашей организации, а не дискредитация.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.",24.024020184508696,"Мы согласны с заявлением USOC о том, что интересы наших спортсменов и клубов, а также их спорта могут быть лучше защищены путем реализации значительных изменений в нашей организации, а не путем лишения лицензии.",44.19673110286591
15,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребление пропорцией, описанной так смело выжившими Ларри Нассар, могло остаться незамеченным так долго и включает любые необходимые и соответствующие изменения.","USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.",26.360537537091204,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребления в такой степени, как это смело описали выжившие после Ларри Нассара, могли оставаться незамеченными так долго, и поддерживает любые необходимые и уместные изменения.",39.03806983558808
16,"США гимнастика и USOC имеют одну и ту же цель  сделать спорт гимнастики и других, как можно безопаснее для спортсменов, чтобы следовать своим мечтам в безопасной, позитивной и укрепленной среде.","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.",9.99345869492586,"Всё в гимнастике и Олимпийский комитет США преследуют одну и ту же цель — сделать спорт гимнастики, а также другие виды спорта, максимально безопасными для спортсменов, чтобы они могли следовать своим мечтам в безопасной, позитивной и вдохновляющей обстановке.",32.73890713622339
17,"В течение 1960-х Бжезинский работал для Джона Кеннеди в качестве его советника, а затем в администрации Линдона Б. Джонсона.","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.",37.49405143204498,"На протяжении 1960-х годов Бжезинский работал в качестве советника у Джона Ф. Кеннеди, а затем и в администрации Линдона Б. Джонсона.",35.55578281210863
18,"Во время выборов 1976 года он консультировал Картера по внешней политике, затем служил советником по национальной безопасности (NSA) с 1977 по 1981 год, сменив Генри Киссинджера.","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.",47.68575453088303,"В ходе выборов 1976 года он консультировал Картера по вопросам внешней политики, а затем с 1977 по 1981 год занимал пост советника по национальной безопасности (NSA), сменив Генри Киссинджера.",52.03127648494151
19,"В качестве АНБ он помог Картеру в дипломатическом обращении с мировыми делами, такими как Соглашения Камп-Дэвид, 1978; нормализация отношений США с Китаем в конце 1970-х годов; Иранская революция, которая привела к кризису заложников в Иране, 1979; и советское вторжение в Афганистан, 1979.","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.",12.730027880084915,"В качестве советника по национальной безопасности он помогал Картеру в дипломатическом решении мировых дел, таких как Кэмп-Дэвидские соглашения 1978 года; нормализация отношений США и Китая в конце 1970-х; Иранская революция, которая привела к захвату американских заложников в Иране в 1979 году; и советское вторжение в Афганистан в 1979 году.",34.596374946938155
20,"Фильм, в котором снимаются Райан Гослинг и Эмма Стоун, получил номинации во всех основных категориях.",Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,17.18152967132724,Фильм с Райаном Гослингом и Эммой Стоун получил номинации во всех основных категориях.,35.752971644498075
21,Гослинг и Стоун получили номинации за лучшего актера и актрису соответственно.,Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.,73.48889200874659,Гослинг и Стоун получили номинации на лучшего актёра и актрису соответственно.,54.52469119630866
22,"Другие номинации включают в себя Лучший фильм, режиссер, кинематография, дизайн костюмов, киноредактирование, оригинальный балл, дизайн производства, звукоредактирование, звукомешивание и оригинальный сценарий.","Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".",1.1474503919915335,"Другие номинации включают: Лучший фильм, Режиссура, Операторская работа, Дизайн костюмов, Монтаж фильма, Оригинальная музыка, ПрProduction Design, Звуковой монтаж, Звуковая обработка и Оригинальный сценарий.",10.09741794700519
23,"Две песни из фильма, ""Аудиция"" и ""Город звезд"", получили номинации на лучшую оригинальную песню.","Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.",6.017550405385613,"Две песни из фильма, ""Аудиша"" (Глупцы, которые мечтают) и ""Город звезд"", получили номинации на лучшую оригинальную песню. Студия Lionsgate получила 26 номинаций — больше, чем любая другая студия.",33.35234928419011
24,"В воскресенье президент США Дональд Трамп в заявлении, выданном через пресс-секретаря, объявил о том, что американские войска покинут Сирию.","Поздно вечером в воскресенье президент США Дональд Трамп через пресс-секретаря заявил, что войска США покинут Сирию.",25.481620920647202,"Поздно в воскресенье президент Соединенных Штатов Дональд Трамп в заявлении, переданном через пресс-секретаря, объявил, что американские войска покинут Сирию.",53.675326316663444
25,Это было объявлено после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоганом.,"Заявление было сделано после того, как Трамп провел телефонный разговор с президентом Турции Реджепом Тайипом Эрдоганом.",34.602738553878126,Объявление было сделано после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоаном.,62.628449627654696
26,"Турция также будет заниматься охраной захваченных боевиков ИГИЛ, которых, как говорится в заявлении, европейские страны отказались возвращать на родину.","Кроме того, Турция займет главную роль в вопросе охраны пойманных боевиков ИГИЛ, которых, согласно заявлению, европейские государства не согласились возвращать домой.",17.423340612744045,"Турция также возьмет на себя охрану захваченных бойцов ИГИЛ, которые, как говорится в заявлении, европейские страны отказались репатриировать.",42.16890913810254
27,"Это не только подтверждает, что у некоторых динозавров были перья, теория, которая уже широко распространена, но и дает подробности, которые обычно не могут найти ископаемые, такие как цвет и трехмерное расположение.","Это не только подтверждает, что, по крайней мере, у некоторых динозавров были перья, что является уже широко распространённой теорией, но и предоставляет детали, которые обычно нельзя получить из окаменелых остатков, такие как цвет и трехмерную структуру.",35.5734426733274,"Это не только подтверждает, что как минимум у некоторых динозавров были перья, что уже широко распространенная теория, но и предоставляет детали, которые обычно не могут быть получены из окаменелостей, такие как цвет и трехмерное расположение.",52.27018257634166
28,"Ученые говорят, что перья этого животного была каштаново-коричневой с бледной или каротиноидной нижней стороны.","Учёные говорят, что оперение этого животного было сверху каштаново-коричневого цвета, а снизу — либо бледным, либо имело каротиноидную пигментацию.",7.735459810627155,"Ученые утверждают, что оперение этого животного было каштаново-коричневым сверху с бледным или каротиноидным цветом снизу.",7.727578693391118
29,"Также в этом открытии можно узнать, как у птиц развиваются перья.",Находка также позволяет ознакомиться с эволюцией перьев у птиц.,6.837203339116283,Это открытие также дает представление о эволюции перьев у птиц.,6.837203339116283
30,"Поскольку у перьев динозавров нет хорошо развитой шахты, называемой рахисом, но есть другие особенности перьев  барб и барбулы  исследователи вынесли вывод, что рахис, вероятно, был более поздним эволюционным развитием, чем эти другие особенности.","Так как у перьев динозавров отсутствует хорошо развитый стержень, называемый рахисом, но все же имеются другие отличительные черты — бородки и бородочки — исследователи пришли к выводу, что рахис, скорее всего, появился позднее путем эволюционного развития других отличительных черт.",10.711183219754735,"Поскольку перья динозавров не имеют хорошо развитого стержня, называемого рачисом, но обладают другими признаками перьев — бородками и бородочками, исследователи пришли к выводу, что рачис, вероятно, был более поздним эволюционным развитием по сравнению с этими другими признаками.",20.402756045916895
31,"По словам исследователей, хотя это хвост молодого динозавра, в образце показано взрослые перья, а не курица.","Структура перьев наводит на мысль, что они не использовались для полёта, а скорее для регуляции температуры и демонстрирования. Исследователи предположили, что хотя это и хвост молодого динозавра, но в образце представлено взрослое оперение, а не пух цыплёнка.",6.629961824028616,"Структура перьев предполагает, что они не использовались для полёта, а скорее для терморегуляции или демонстрации. Исследователи предположили, что, хотя это хвост молодого динозавра, образец показывает взрослое оперение, а не пух птенца.",14.197682662759712
32,"Исследователи предположили, что, хотя это хвост молодого динозавра, образцы показывают взрослые перья, а не курица.","Исследователи предположили, что, несмотря на то, что это хвост молодого динозавра, данный образец имеет оперение взрослой особи, а не пух цыплёнка.",30.195497700923706,"Исследователи предположили, что, хотя это хвост молодого динозавра, образец демонстрирует взрослое оперение, а не птичье пуховое оперение.",53.67659014253398
33,"Автобом, взорванный в полицейском штабе в Газиантеп, Турция, вчера утром убил двух полицейских и ранил более двадцати других людей.","Вчера утром возле главного полицейского управления Газиантепа (Турция) был подорван автомобиль, в результате чего погибли 2 полицейских и еще более 20 человек получили ранения.",3.74747034054522,"Вчера утром в Газьянтепе, Турция, у главного управления полиции прогремел автомобильный взрыв, в результате которого погибли два полицейских, а более двадцати человек получили ранения.",7.231473874984054
34,"Управление губернатора сообщило, что 19 из раненых были полицейскими.","Канцелярия губернатора сообщила, что 19 из раненных были офицерами полиции.",24.640511033537816,"Офис губернатора сообщил, что девятнадцать из раненых были полицейскими.",41.72261448611506
35,"Полиция заявила, что подозревает, что ответственность за нападение лежит на боевике ИГИЛ.","Полиция заявила, что в совершении нападения подозревается предполагаемый боевик ДАИШ (ИГИЛ).",18.20705281109213,"Полиция заявила, что подозревает предполагаемого боевика Даеш (ИГИЛ) в ответственности за атаку.",25.884296648947053
36,"Они обнаружили, что Солнце действует по тем же основным принципам, что и другие звезды: деятельность всех звезд в системе определяется их яркостью, вращением и ничем другим.","Они обнаружили, что Солнце работает по тем же основным принципам, что и другие звёзды: было установлено, что активность всех звёзд в системе определяется их яркостью, вращением и ничем другим.",61.46349685610895,"Они обнаружили, что Солнце функционирует на тех же основных принципах, что и другие звезды: выяснили, что активность всех звезд в системе определяется их светимостью, их вращением и ничем другим.",46.75792214660165
37,"Светочность и вращение используются вместе для определения числа Росби звезды, которая связана с плазменным потоком.","Совокупность светимости и вращения используется для определения числа Россби звезды, связанного с потоком плазмы.",12.39899236095509,"Яркость и вращение используются вместе для определения числа Россби звезды, которое связано с потоком плазмы.",41.41238765665519
38,"Чем меньше число Росби, тем меньше активности звезды по отношению к магнитным обворотам.","Чем меньше число Россби, тем менее активна звезда по отношению к инверсиям магнитного поля.",18.010019776510696,"Чем меньше число Россби, тем менее активна звезда в отношении магнитных переворотов.",12.874330508144842
39,Во время своего путешествия Ивасаки неоднократно сталкивался с бедами.,Ивасаки часто попадал в неприятные ситуации во время путешествия.,5.934202609760488,Во время своей поездки Ивасаки столкнулся с трудностями много раз.,9.548450962056531
40,"Он был ограблен пиратами, напал на него в Тибете злостная собака, избежал брака в Непале и был арестован в Индии.","Он был ограблен пиратами, атакован бешеной собакой в Тибете, избежал свадьбы в Непале и был арестован в Индии.",50.592163756305474,"Он был ограблен пиратами, напал в Тибете бешеной собакой, избежал женитьбы в Непале и был арестован в Индии.",55.497405471211636
41,"Стандарт 802.11n работает как на частотах 2,4 ГГц, так и на частотах 5,0 ГГц.",Стандарт 802.11n работает на обоих частотах – 2.4 ГГц и 5.0 ГГц.,13.259061490238889,Стандарт 802.11n работает на частотах 2.4 ГГц и 5.0 ГГц.,14.247788801610149
42,"Это позволит ему быть обратно совместимым с 802.11a, 802.11b и 802.11g, при условии, что базовая станция имеет двойные радиостанции.","Это обеспечит его обратную совместимость с 802.11a, 802.11b и 802.11g при условии, что у базовой станции есть двойной приемник.",32.26789736295068,"Это позволит обеспечить обратную совместимость с 802.11a, 802.11b и 802.11g, при условии, что базовая станция имеет два радиопередатчика.",62.00657885072486
43,"Скорость 802.11n существенно быстрее, чем у предшественников с максимальной теоретической пропускной способностью 600 Мбит/с.","Скорости 802.11n значительно быстрее, чем у его предшественников с максимальной теоретической пропускной способностью в 600 Мбит/с.",54.85113740772977,"Скорости 802.11n значительно выше, чем у его предшественников, с максимальной теоретической пропускной способностью 600 Мбит/с.",54.88681296311372
44,"Дувалл, который женат и имеет двоих взрослых детей, не произвел на Миллера большого впечатления.","Дюваль, который женат и имеет двух совершеннолетних детей, не произвел большого впечатления на Миллера, которому рассказали эту историю.",31.78225663747233,"Дюваль, который женат и имеет двух взрослых детей, не произвел большого впечатления на Миллера, которому была рассказана эта история.",35.204499156253654
45,"Когда его попросили прокомментировать, Миллер сказал: ""Майк много говорит во время слушания... Я готовился, так что я не слушал, что он сказал"".","Когда у Миллера попросили комментарий, он сказал: ""Майк много говорит во время слушаний... Я готовился, поэтому особо не слушал, что он говорил"".",50.506705817428575,"Когда его спросили о комментарии, Миллер сказал: «Майк много говорит на слушании... Я готовился, поэтому не очень слушал, что он говорил».",33.13222512611371
46,"""Мы постараемся сократить выбросы углекислого газа на единицу ВВП на значительный разряд к 2020 году по сравнению с уровнем 2005 года"", - сказал Ху.","""Мы будем предпринимать усилия с целью значительного сокращения выбросов углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года"", — сказал Ху.",51.61465985483674,"""Мы постараемся существенно сократить выбросы углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года,"" сказал Ху.",59.230330720232516
47,"Он не определил цифру сокращений, заявив, что они будут осуществляться на основе экономического производства Китая.","Он не назвал цифру для сокращений бюджетов, сказав, что они будут сделаны исходя из производительности экономики Китая.",17.603947382649423,"Он не установил конкретную цифру для сокращений, заявив, что они будут сделаны на основе экономического производства Китая.",57.0062318840941
48,"Ху призвал развивающиеся страны ""избегать старого пути загрязнения сначала и очистки позже"".","Ху призывал развивающиеся страны ""избегать старой схемы, в которой сначала загрязняют, а потом очищают"".",16.102642769112478,"Ху призвал развивающиеся страны ""избегать старого пути, когда сначала загрязняют, а потом очищают"".",43.622054103604924
49,"Он добавил, что ""не следует, однако, просить их взять на себя обязательства, которые выходят за рамки их стадии развития, ответственности и возможностей"".","Он добавил, что ""их, однако, не следует просить брать на себя обязательства, которые выходят за рамки их стадии разработки, ответственности и возможностей"".",64.36642324824672,"Он добавил, что ""однако от них не следует требовать взятия на себя обязательств, которые выходят за пределы их стадии развития, ответственности и возможностей.""",43.7742810290776
50,Группа по изучению Ирака представила свой доклад сегодня в 12.00 по Грин-Т.,Сегодня в 12:00 по Гринвичу группа по изучению Ирака представила свой доклад.,36.1122529183502,Группа изучения Ирака представила свой отчет сегодня в 12:00 по Гринвичу.,15.05770286076146
51,"В нем предупреждается, что никто не может гарантировать, что любой курс действий в Ираке в данный момент остановит сектатную войну, растущее насилие или сдвиг в путь хаоса.","Он предупреждает: ""Никто не может гарантировать, что какой-либо план действий в Ираке в текущей ситуации сможет остановить религиозную войну, растущее насилие или надвигающийся хаос"".",30.575688093263597,"Это предупреждает, что никто не может гарантировать, что какой-либо курс действий в Ираке на данном этапе остановит меж宗教ные войны, растущее насилие или скольжение к хаосу.",38.376797444789126
